행정동,통,반,관할구역
정왕1동,1,1,정왕동 1396
정왕1동,1,2,"정왕동 1397, 1398"
정왕1동,1,3,정왕동 1399
정왕1동,1,4,정왕동 1400
정왕1동,1,5,정왕동 1401
정왕1동,2,1,정왕동 1420
정왕1동,2,2,정왕동 1423
정왕1동,2,3,"정왕동 1424, 1425"
정왕1동,2,4,정왕동 1426
정왕1동,3,1,정왕동 1395
정왕1동,3,2,정왕동 1402
정왕1동,3,3,정왕동 1403
정왕1동,3,4,정왕동 1404
정왕1동,3,5,정왕동 1405
정왕1동,3,6,정왕동 1406
정왕1동,3,7,정왕동 1407
정왕1동,4,1,정왕동 1419
정왕1동,4,2,정왕동 1421
정왕1동,4,3,정왕동 1422
정왕1동,4,4,정왕동 1427
정왕1동,5,1,정왕동 1498
정왕1동,5,2,정왕동 1408
정왕1동,5,3,정왕동 1409
정왕1동,5,4,정왕동 1410
정왕1동,5,5,정왕동 1411
정왕1동,5,6,정왕동 1412
정왕1동,6,1,정왕동 1413
정왕1동,6,2,정왕동 1414
정왕1동,6,3,정왕동 1415
정왕1동,6,4,정왕동 1416
정왕1동,6,5,"정왕동 1417,1418"
정왕1동,7,1,정왕동 1555
정왕1동,7,2,정왕동 1561
정왕1동,7,3,정왕동 1562
정왕1동,7,4,정왕동 1563
정왕1동,7,5,정왕동 1564
정왕1동,7,6,"정왕동 1565,1566"
정왕1동,8,1,정왕동 1567
정왕1동,8,2,정왕동 1568
정왕1동,8,3,"정왕동 1428,1429"
정왕1동,8,4,정왕동 1430
정왕1동,8,5,정왕동 1431
정왕1동,8,6,정왕동 1439
정왕1동,9,1,정왕동 1556
정왕1동,9,2,정왕동 1557
정왕1동,9,3,정왕동 1558
정왕1동,9,4,정왕동 1559
정왕1동,9,5,정왕동 1560
정왕1동,9,6,정왕동 1569
정왕1동,10,1,정왕동 1432
정왕1동,10,2,정왕동 1433
정왕1동,10,3,정왕동 1434
정왕1동,10,4,정왕동 1435
정왕1동,10,5,정왕동 1436
정왕1동,10,6,정왕동 1437
정왕1동,10,7,정왕동 1438
정왕1동,11,1,정왕동 1570
정왕1동,11,2,"정왕동 1581,1582"
