유형,행정동,통,조각필지수,본체에서_거리(m),상세/사유/지번
미표시,정왕본동,30,,,표에 지번 없음/지적도에 없음(아파트 단지명 등)
미표시,정왕본동,31,,,표에 지번 없음/지적도에 없음(아파트 단지명 등)
미표시,정왕1동,20,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,정왕1동,22,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,정왕1동,27,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,정왕1동,29,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,정왕1동,31,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,정왕1동,33,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,능곡동,20,,,지적도에 해당 지번 없음
미표시,능곡동,21,,,사유 미상
미표시,능곡동,25,,,사유 미상
미표시,능곡동,26,,,사유 미상
미표시,능곡동,27,,,사유 미상
미표시,능곡동,28,,,사유 미상
미표시,능곡동,29,,,사유 미상
미표시,능곡동,30,,,지적도에 해당 지번 없음
미표시,능곡동,32,,,표에 지번 없음/지적도에 없음(아파트 단지명 등)
미표시,군자동,24,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,월곶동,8,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,월곶동,9,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,월곶동,10,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,월곶동,12,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,월곶동,13,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,연성동,3,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,연성동,11,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,연성동,16,,,지적도에 해당 지번 없음
미표시,연성동,18,,,지적도에 해당 지번 없음
미표시,연성동,19,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,연성동,22,,,지적도에 해당 지번 없음
미표시,연성동,24,,,지적도에 해당 지번 없음
미표시,장곡동,4,,,지적도에 해당 지번 없음
미표시,장곡동,5,,,지적도에 해당 지번 없음
미표시,장곡동,6,,,지적도에 해당 지번 없음
미표시,장곡동,7,,,표에 지번 없음/지적도에 없음(아파트 단지명 등)
미표시,장곡동,9,,,표에 지번 없음/지적도에 없음(아파트 단지명 등)
미표시,장곡동,11,,,지적도에 해당 지번 없음
미표시,장곡동,12,,,표에 지번 없음/지적도에 없음(아파트 단지명 등)
미표시,장곡동,13,,,지적도에 해당 지번 없음
미표시,장곡동,15,,,지적도에 해당 지번 없음
미표시,장곡동,16,,,표에 지번 없음/지적도에 없음(아파트 단지명 등)
미표시,장곡동,17,,,지적도에 해당 지번 없음
미표시,장곡동,18,,,지적도에 해당 지번 없음
미표시,장곡동,20,,,지적도에 해당 지번 없음
미표시,장곡동,21,,,표에 지번 없음/지적도에 없음(아파트 단지명 등)
미표시,장곡동,22,,,지적도에 해당 지번 없음
미표시,장곡동,23,,,표에 지번 없음/지적도에 없음(아파트 단지명 등)
미표시,장곡동,24,,,표에 지번 없음/지적도에 없음(아파트 단지명 등)
미표시,장곡동,25,,,지적도에 해당 지번 없음
미표시,장곡동,26,,,표에 지번 없음/지적도에 없음(아파트 단지명 등)
미표시,장곡동,27,,,지적도에 해당 지번 없음
미표시,장곡동,28,,,표에 지번 없음/지적도에 없음(아파트 단지명 등)
미표시,장곡동,29,,,표에 지번 없음/지적도에 없음(아파트 단지명 등)
미표시,장곡동,30,,,지적도에 해당 지번 없음
미표시,장곡동,33,,,지적도에 해당 지번 없음
미표시,장곡동,35,,,사유 미상
미표시,장곡동,37,,,지적도에 해당 지번 없음
미표시,장곡동,39,,,지적도에 해당 지번 없음
미표시,장곡동,41,,,지적도에 해당 지번 없음
미표시,장곡동,44,,,지적도에 해당 지번 없음
미표시,장곡동,45,,,표에 지번 없음/지적도에 없음(아파트 단지명 등)
미표시,장곡동,46,,,지적도에 해당 지번 없음
미표시,정왕4동,8,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,정왕4동,12,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,정왕4동,14,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,정왕4동,16,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,정왕4동,19,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,배곧1동,4,,,지적도에 해당 지번 없음
미표시,배곧1동,5,,,지적도에 해당 지번 없음
미표시,배곧1동,7,,,지적도에 해당 지번 없음
미표시,배곧1동,10,,,지적도에 해당 지번 없음
미표시,배곧1동,11,,,지적도에 해당 지번 없음
미표시,배곧1동,13,,,지적도에 해당 지번 없음
미표시,배곧1동,14,,,지적도에 해당 지번 없음
미표시,배곧1동,17,,,지적도에 해당 지번 없음
미표시,배곧1동,18,,,지적도에 해당 지번 없음
미표시,배곧1동,20,,,지적도에 해당 지번 없음
미표시,배곧1동,21,,,지적도에 해당 지번 없음
미표시,배곧1동,23,,,지적도에 해당 지번 없음
미표시,배곧1동,24,,,지적도에 해당 지번 없음
미표시,배곧1동,26,,,지적도에 해당 지번 없음
미표시,배곧1동,27,,,지적도에 해당 지번 없음
미표시,배곧1동,29,,,지적도에 해당 지번 없음
미표시,배곧1동,30,,,지적도에 해당 지번 없음
미표시,배곧1동,31,,,지적도에 해당 지번 없음
