행정동,통,반,관할구역
정왕3동,1,1,"정왕동 1940-1(신동아아파트 101동, 상가)"
정왕3동,1,2,정왕동 1940-1(신동아아파트 102동)
정왕3동,1,3,정왕동 1940-1(신동아아파트 103동)
정왕3동,1,4,정왕동 1940-1(신동아아파트 104동)
정왕3동,1,5,정왕동 1940-1(신동아아파트 105동)
정왕3동,1,6,정왕동 1940-1(신동아아파트 106동)
정왕3동,1,7,정왕동 1940-1(신동아아파트 107동)
정왕3동,1,8,정왕동 1940-1(신동아아파트 108동)
정왕3동,2,1,정왕동 1940-2(신동아아파트 201동)
정왕3동,2,2,정왕동 1940-2(신동아아파트 202동)
정왕3동,2,3,정왕동 1940-2(신동아아파트 203동)
정왕3동,2,4,정왕동 1940-2(신동아아파트 204동)
정왕3동,2,5,정왕동 1940-2(신동아아파트 205동)
정왕3동,2,6,정왕동 1940-2(신동아아파트 206동)
정왕3동,2,7,정왕동 1940-2(신동아아파트 207동)
정왕3동,2,8,정왕동 1940-2(신동아아파트 208동)
정왕3동,2,9,정왕동 1940-2(신동아아파트 209동)
정왕3동,2,10,정왕동 1940-2(신동아아파트 210동)
정왕3동,2,11,정왕동 1940-2(신동아아파트 211동)
정왕3동,2,12,정왕동 1940-2(신동아아파트 212동)
정왕3동,2,13,정왕동 1940-2(신동아아파트 213동)
정왕3동,3,1,정왕동 1865(한일아파트 101동)
정왕3동,3,2,정왕동 1865(한일아파트 102동)
정왕3동,3,3,정왕동 1865(한일아파트 103동)
정왕3동,3,4,정왕동 1865(한일아파트 104동)
정왕3동,3,5,정왕동 1865(한일아파트 105동)
정왕3동,3,6,정왕동 1865(한일아파트 106동)
정왕3동,3,7,정왕동 1865(한일아파트 107동)
정왕3동,3,8,정왕동 1865(한일아파트 108동)
정왕3동,3,9,정왕동 1865(한일아파트 109동)
정왕3동,4,1,정왕동 1865(한일아파트 110동)
정왕3동,4,2,정왕동 1865(한일아파트 111동)
정왕3동,4,3,정왕동 1865(한일아파트 112동)
정왕3동,4,4,정왕동 1865(한일아파트 113동)
정왕3동,4,5,정왕동 1865(한일아파트 114동)
정왕3동,4,6,정왕동 1865(한일아파트 115동)
정왕3동,4,7,정왕동 1865(한일아파트 116동)
정왕3동,4,8,정왕동 1865(한일아파트 117동)
정왕3동,4,9,정왕동 1865(한일아파트 118동)
정왕3동,5,1,정왕동 1866-6(영남아파트 501동)
정왕3동,5,2,정왕동 1866-6(영남아파트 502동)
정왕3동,5,3,정왕동 1866-6(영남아파트 503동)
정왕3동,5,4,정왕동 1866-6(영남아파트 504동)
정왕3동,5,5,정왕동 1866-6(영남아파트 505동)
정왕3동,5,6,정왕동 1866-6(영남아파트 506동)
정왕3동,5,7,정왕동 1866-6(영남아파트 507동)
정왕3동,5,8,정왕동 1866-6(영남아파트 508동)
정왕3동,5,9,정왕동 1866-6(영남아파트 509동)
정왕3동,5,10,정왕동 1866-6(영남아파트 510동)
정왕3동,5,11,정왕동 1866-6(영남아파트 511동)
정왕3동,6,1,정왕동 1864(주공아파트 101동)
정왕3동,6,2,정왕동 1864(주공아파트 102동)
정왕3동,6,3,정왕동 1864(주공아파트 103동)
정왕3동,6,4,정왕동 1864(주공아파트 104동)
정왕3동,6,5,정왕동 1864(주공아파트 113동)
정왕3동,6,6,정왕동 1864(주공아파트 114동)
정왕3동,6,7,정왕동 1864(주공아파트 115동)
정왕3동,6,8,정왕동 1864(주공아파트 116동)
정왕3동,6,9,정왕동 1864(주공아파트 117동)
정왕3동,6,10,정왕동 1864(주공아파트 118동)
정왕3동,7,1,정왕동 1864(주공아파트 105동)
정왕3동,7,2,정왕동 1864(주공아파트 106동)
정왕3동,7,3,정왕동 1864(주공아파트 107동)
정왕3동,7,4,정왕동 1864(주공아파트 108동)
정왕3동,7,5,정왕동 1864(주공아파트 109동)
정왕3동,7,6,정왕동 1864(주공아파트 110동)
정왕3동,7,7,정왕동 1864(주공아파트 111동)
정왕3동,7,8,정왕동 1864(주공아파트 112동)
정왕3동,8,1,정왕동 1867-3(신호아파트 101동)
정왕3동,8,2,정왕동 1867-3(신호아파트 102동)
정왕3동,8,3,정왕동 1867-3(신호아파트 103동)
정왕3동,8,4,정왕동 1867-3(신호아파트 104동)
정왕3동,8,5,정왕동 1867-3(신호아파트 105동)
정왕3동,8,6,정왕동 1867-3(신호아파트 106동)
정왕3동,8,7,정왕동 1867-3(신호아파트 107동)
정왕3동,8,8,정왕동 1867-3(신호아파트 108동)
정왕3동,8,9,정왕동 1867-3(신호아파트 109동)
정왕3동,8,10,정왕동 1867-3(신호아파트 110동)
정왕3동,8,11,정왕동 1867-3(신호아파트 111동)
정왕3동,9,1,정왕동 1867-1(건영7차아파트 101동)
정왕3동,9,2,정왕동 1867-1(건영7차아파트 102동)
정왕3동,9,3,정왕동 1867-1(건영7차아파트 103동)
정왕3동,10,1,정왕동 1942-1(계룡아파트 201동)
정왕3동,10,2,정왕동 1942-1(계룡아파트 202동)
정왕3동,10,3,정왕동 1942-1(계룡아파트 203동)
정왕3동,10,4,정왕동 1942-1(계룡아파트 204동)
정왕3동,10,5,정왕동 1942-1(계룡아파트 205동)
정왕3동,10,6,정왕동 1942-1(계룡아파트 209동)
정왕3동,10,7,정왕동 1942-1(계룡아파트 210동)
정왕3동,10,8,정왕동 1942-1(계룡아파트 211동)
정왕3동,10,9,정왕동 1942-1(계룡아파트 212동)
정왕3동,10,10,정왕동 1942-1(계룡아파트 213동)
정왕3동,11,1,정왕동 1942-1(계룡아파트 206동)
정왕3동,11,2,정왕동 1942-1(계룡아파트 207동)
정왕3동,11,3,정왕동 1942-1(계룡아파트 208동)
정왕3동,11,4,정왕동 1942-1(계룡아파트 214동)
정왕3동,11,5,정왕동 1942-1(계룡아파트 215동)
정왕3동,11,6,정왕동 1942-1(계룡아파트 216동)
정왕3동,11,7,정왕동 1942-1(계룡아파트 217동)
정왕3동,11,8,정왕동 1942-1(계룡아파트 218동)
정왕3동,11,9,정왕동 1942-1(계룡아파트 219동)
정왕3동,11,10,정왕동 1942-1(계룡아파트 220동)
정왕3동,12,1,정왕동 1863(대림아파트 6301동)
정왕3동,12,2,정왕동 1863(대림아파트 6302동)
정왕3동,12,3,정왕동 1863(대림아파트 6303동)
정왕3동,12,4,정왕동 1863(대림아파트 6304동)
정왕3동,12,5,정왕동 1863(대림아파트 6305동)
정왕3동,12,6,정왕동 1863(대림아파트 6306동)
정왕3동,12,7,정왕동 1863(대림아파트 6307동)
정왕3동,12,8,정왕동 1863(대림아파트 6308동)
정왕3동,12,9,정왕동 1863(대림아파트 6309동)
정왕3동,12,10,정왕동 1863(대림아파트 6310동)
정왕3동,12,11,정왕동 1863(대림아파트 6311동)
정왕3동,13,1,정왕동 1863(대림아파트 6312동)
정왕3동,13,2,정왕동 1863(대림아파트 6313동)
정왕3동,13,3,정왕동 1863(대림아파트 6314동)
정왕3동,13,4,정왕동 1863(대림아파트 6315동)
정왕3동,13,5,정왕동 1863(대림아파트 6316동)
정왕3동,13,6,정왕동 1863(대림아파트 6317동)
정왕3동,13,7,정왕동 1863(대림아파트 6318동)
정왕3동,13,8,정왕동 1863(대림아파트 6319동)
정왕3동,13,9,정왕동 1863(대림아파트 6320동)
정왕3동,13,10,정왕동 1863(대림아파트 6321동)
정왕3동,13,11,정왕동 1857～1861
정왕3동,14,1,정왕동 1942-2(동보아파트 101동)
정왕3동,14,2,정왕동 1942-2(동보아파트 102동)
정왕3동,14,3,정왕동 1942-2(동보아파트 103동)
정왕3동,14,4,정왕동 1942-2(동보아파트 104동)
