통,반,_dong,_jib,_fill
3,0,매화동,1-10,road_match
3,0,매화동,25-7,road_match
3,0,매화동,53-13,road_match
16,0,매화동,66-1,road_split
13,0,매화동,66-1,road_split
3,0,매화동,99-3,road_match
3,0,매화동,102-8,road_match
3,0,매화동,139-5,road_match
3,0,매화동,190-5,road_match
3,0,매화동,190-9,road_match
3,0,매화동,190-11,road_match
3,0,매화동,190-15,road_match
3,0,매화동,192-2,road_match
3,0,매화동,193-2,road_match
9,0,매화동,193-7,road_match
9,0,매화동,194-10,road_match
9,0,매화동,194-11,road_match
9,0,매화동,194-12,road_match
9,0,매화동,194-13,road_match
3,0,매화동,194-15,road_match
9,0,매화동,199-13,road_match
9,0,매화동,199-14,road_match
9,0,매화동,200-2,road_match
9,0,매화동,200-3,road_match
9,0,매화동,200-11,road_match
9,0,매화동,200-14,road_match
9,0,매화동,202-9,road_match
13,0,매화동,208-4,road_match
13,0,매화동,208-5,road_match
13,0,매화동,208-6,road_match
13,0,매화동,208-7,road_match
9,0,매화동,210-7,road_match
13,0,매화동,220-12,road_match
13,0,매화동,220-14,road_match
13,0,매화동,220-15,road_split
9,0,매화동,220-15,road_split
8,0,매화동,220-18,road_split
13,0,매화동,220-18,road_split
16,0,매화동,220-18,road_split
8,0,매화동,220-24,road_split
13,0,매화동,220-24,road_split
2,0,매화동,221-2,road_match
2,0,매화동,221-12,road_match
2,0,매화동,221-13,road_match
2,0,매화동,221-65,road_match
12,0,매화동,221-71,road_match
2,0,매화동,221-75,road_match
2,0,매화동,221-79,road_match
12,0,매화동,221-80,road_split
2,0,매화동,221-80,road_split
12,0,매화동,221-82,road_match
2,0,매화동,221-83,road_split
12,0,매화동,221-83,road_split
2,0,매화동,221-84,road_match
2,0,매화동,221-85,road_match
2,0,매화동,221-86,road_match
2,0,매화동,221-88,road_match
2,0,매화동,221-89,road_match
2,0,매화동,221-91,road_match
2,0,매화동,221-92,road_match
12,0,매화동,221-94,road_match
15,0,매화동,221-95,road_match
2,0,매화동,221-98,road_match
2,0,매화동,221-101,road_match
2,0,매화동,221-102,road_split
12,0,매화동,221-102,road_split
2,0,매화동,221-103,road_match
2,0,매화동,222-2,road_match
1,0,매화동,223-2,road_match
1,0,매화동,223-3,road_match
1,0,매화동,223-4,road_split
1,0,매화동,229-2,road_match
18,0,매화동,229-3,road_split
1,0,매화동,229-3,road_split
1,0,매화동,230-2,road_match
1,0,매화동,230-3,road_match
1,0,매화동,236-2,manual_pending
2,0,매화동,236-3,manual_pending
12,0,매화동,236-5,road_split
2,0,매화동,238-12,road_match
2,0,매화동,238-13,road_match
2,0,매화동,238-14,road_match
2,0,매화동,238-15,road_match
2,0,매화동,238-16,road_match
2,0,매화동,238-17,road_match
2,0,매화동,238-18,road_match
2,0,매화동,238-19,road_match
2,0,매화동,238-20,road_match
2,0,매화동,238-22,road_split
2,0,매화동,238-24,road_match
2,0,매화동,238-25,road_split
2,0,매화동,239-4,road_match
2,0,매화동,239-5,road_match
2,0,매화동,239-6,road_match
12,0,매화동,241-1,road_match
12,0,매화동,241-3,road_split
2,0,매화동,241-3,road_split
2,0,매화동,241-10,road_match
12,0,매화동,241-13,road_match
2,0,매화동,241-14,road_match
15,0,매화동,242-2,road_match
15,0,매화동,244-23,road_match
15,0,매화동,244-31,road_match
15,0,매화동,244-35,road_match
15,0,매화동,244-36,road_match
15,0,매화동,244-37,road_match
15,0,매화동,244-48,road_match
15,0,매화동,244-50,road_match
15,0,매화동,244-52,road_match
15,0,매화동,245-2,road_match
15,0,매화동,245-3,road_match
