통,반,법정동,지번
1,1,매화동,224
1,1,매화동,231
1,2,매화동,334
1,2,매화동,335
1,2,매화동,354
1,2,매화동,355
1,2,매화동,356
1,3,매화동,338-2
1,4,매화동,350
1,4,매화동,352
2,2,매화동,221-27
2,2,매화동,221-28
2,2,매화동,221-62
2,4,매화동,238-10
3,1,매화동,191
3,1,매화동,191-4
3,1,매화동,191-5
3,4,매화동,98-2
3,4,매화동,169-1
3,5,매화동,산5
3,5,매화동,산32
3,5,매화동,26
3,5,매화동,산34
3,5,매화동,43
3,5,매화동,92-1
3,5,매화동,92-2
3,5,매화동,92-3
3,5,매화동,92-4
3,5,매화동,92-5
3,5,매화동,92-6
3,5,매화동,92-7
3,5,매화동,92-8
3,5,매화동,92-9
3,5,매화동,92-10
3,5,매화동,92-11
3,5,매화동,92-12
3,5,매화동,103
4,1,도창동,산2-16
4,1,도창동,12-2
4,1,도창동,144-5
4,1,도창동,144-7
4,1,도창동,144-146
4,2,도창동,44
4,2,도창동,46-1
4,3,도창동,179
4,4,도창동,207
4,4,도창동,212
5,1,도창동,404
5,1,도창동,411
5,1,도창동,427
5,2,도창동,368
5,2,도창동,367
5,3,도창동,산32
5,3,도창동,산67
5,3,도창동,73
5,3,도창동,382
6,1,금이동,산78
6,1,금이동,73
6,1,금이동,179-6
6,1,금이동,279
6,2,금이동,286
6,2,금이동,317
6,2,금이동,326
6,2,금이동,328
6,2,금이동,산9-3
6,3,금이동,600
7,1,금이동,39
7,1,금이동,산119
7,2,금이동,산43
7,3,금이동,80
7,3,금이동,442
7,4,금이동,산115
7,4,금이동,138
7,4,금이동,459
7,4,금이동,462
9,3,매화동,199-4
12,6,매화동,234
12,6,매화동,235
12,6,매화동,235-6
14,4,매화동,358
15,1,매화동,247-9
15,1,매화동,249-3
15,3,매화동,253-10
15,4,매화동,261-1
15,4,매화동,261-3
15,4,매화동,250-6
15,4,매화동,250-9
15,4,매화동,250-12
15,4,매화동,250-14
15,4,매화동,250-15
15,4,매화동,250-17
15,4,매화동,250-18
15,4,매화동,250-21
15,4,매화동,250-22
17,3,매화동,263-2
17,3,매화동,263-3
17,3,매화동,263-14
17,3,매화동,263-15
17,3,매화동,263-17
17,3,매화동,263-20
18,4,매화동,364-6
18,4,매화동,364-11
18,4,매화동,364-18
18,4,매화동,364-19
18,4,매화동,364-20
18,4,매화동,364-21
18,4,매화동,364-22
18,4,매화동,366-2
18,4,매화동,366-6
18,4,매화동,366-7
18,4,매화동,366-8
18,4,매화동,366-9
18,4,매화동,366-10
23,4,매화동,452
