_dong,_jib,통
대야동,29,2.0
대야동,27,2.0
대야동,491,45.0
대야동,563,26.0
대야동,564,24.0
대야동,569-1,20.0
대야동,658,12.0
대야동,659,3.0
대야동,692,28.0
대야동,693,34.0
대야동,8,2.0
대야동,694,57.0
