통,반,법정동,지번
1,2,거모동,1659
1,2,거모동,1660
1,2,거모동,1661
1,2,거모동,1662
1,2,거모동,1663
1,2,거모동,1664
1,2,거모동,1667
1,2,거모동,1668
1,2,거모동,1669
1,5,거모동,1769-22
2,1,거모동,1745-13
3,1,거모동,492
3,1,거모동,495
3,1,거모동,496
3,1,거모동,497
3,1,거모동,498
3,1,거모동,499
3,1,거모동,502
3,1,거모동,505
3,1,거모동,508
3,1,거모동,509
3,1,거모동,511
3,1,거모동,512
3,1,거모동,513
3,1,거모동,520
3,1,거모동,522
3,1,거모동,523
3,1,거모동,524
3,1,거모동,525
3,1,거모동,526
3,1,거모동,527
3,1,거모동,528
3,1,거모동,529
3,1,거모동,534
3,1,거모동,535
3,2,거모동,540
3,2,거모동,542
3,2,거모동,548
3,2,거모동,549
3,2,거모동,550
3,2,거모동,561
3,2,거모동,563
3,2,거모동,566
3,2,거모동,568
3,2,거모동,569
3,2,거모동,584
3,3,거모동,589
3,3,거모동,590
3,3,거모동,592
3,3,거모동,642
3,3,거모동,643
3,3,거모동,644
3,3,거모동,645
3,3,거모동,646
3,3,거모동,647
3,3,거모동,648
3,3,거모동,649
3,3,거모동,650
3,3,거모동,652
3,3,거모동,653
3,3,거모동,660
3,3,거모동,661
3,3,거모동,662
3,3,거모동,663
3,3,거모동,664
3,4,거모동,708
3,4,거모동,709
3,4,거모동,710
3,4,거모동,716
3,4,거모동,719
3,4,거모동,720
3,4,거모동,730
3,4,거모동,733
3,4,거모동,742
3,4,거모동,744
3,4,거모동,745
3,4,거모동,748
3,4,거모동,750
3,4,거모동,751
3,4,거모동,754
3,4,거모동,757
3,4,거모동,760
3,4,거모동,802
3,4,거모동,803
3,4,거모동,804
3,4,거모동,805
3,4,거모동,816
3,4,거모동,819
3,4,거모동,821
3,4,거모동,831
3,4,거모동,832
3,4,거모동,833
3,4,거모동,834
3,4,거모동,835
3,4,거모동,838
3,4,거모동,839
3,4,거모동,840
3,4,거모동,841
3,4,거모동,842
3,4,거모동,844
3,4,거모동,846
3,4,거모동,847
3,4,거모동,848
3,4,거모동,849
3,4,거모동,850
3,4,거모동,852
3,4,거모동,853
3,4,거모동,855
3,4,거모동,859
3,4,거모동,863
3,4,거모동,875
3,4,거모동,877
3,4,거모동,879
3,4,거모동,880
3,4,거모동,889
3,4,거모동,890
3,4,거모동,891
3,4,거모동,892
3,4,거모동,893
3,4,거모동,907
3,4,거모동,914
3,4,거모동,915
3,4,거모동,916
3,4,거모동,931
3,4,거모동,932
3,4,거모동,938
3,4,거모동,943
3,4,거모동,952
3,4,거모동,953
3,4,거모동,954
3,4,거모동,955
3,4,거모동,956
3,4,거모동,957
3,4,거모동,958
3,4,거모동,963
3,4,거모동,966
3,4,거모동,969
3,4,거모동,974
3,4,거모동,975
3,4,거모동,982
3,4,거모동,985
3,4,거모동,986
3,4,거모동,995
3,4,거모동,998
3,4,거모동,999
3,4,거모동,1001
3,4,거모동,1003
3,4,거모동,1008
3,4,거모동,1022
3,4,거모동,1024
3,4,거모동,1025
3,4,거모동,1032
3,4,거모동,1035
3,4,거모동,1040
3,4,거모동,1041
3,4,거모동,1042
3,4,거모동,1044
3,4,거모동,1045
3,4,거모동,1046
3,4,거모동,1047
3,4,거모동,1048
3,4,거모동,1049
3,4,거모동,1050
3,4,거모동,1051
3,4,거모동,1058
3,4,거모동,1059
3,4,거모동,1060
3,4,거모동,1061
3,4,거모동,1063
3,4,거모동,1065
3,4,거모동,1066
3,4,거모동,1076
3,4,거모동,1077
3,4,거모동,1079
4,1,거모동,182
4,1,거모동,185
4,1,거모동,186
4,1,거모동,187
4,1,거모동,191
4,1,거모동,192
4,1,거모동,193
4,1,거모동,194
