행정동,통,반,관할구역
장곡동,1,1,장곡동 2～443-1
장곡동,1,2,장곡동 818～827
장곡동,1,3,장곡동 812～817
장곡동,1,4,장곡동 817-5
장곡동,1,5,장곡동 101～102-9
장곡동,2,1,"장곡동 517～765-4, 산41, 산80"
장곡동,2,2,장곡동 792～795
장곡동,2,3,장곡동 796～803
장곡동,2,4,장곡동 809～810
장곡동,3,1,"장곡동 805 매꼴삼성 241동 101～806, 상가"
장곡동,3,2,장곡동 매꼴삼성 241동 901～1706
장곡동,3,3,장곡동 매꼴삼성 242동
장곡동,3,4,장곡동 매꼴삼성 243동
장곡동,3,5,장곡동 매꼴삼성 244동
장곡동,3,6,장곡동 매꼴삼성 245동
장곡동,3,7,장곡동 매꼴삼성 246동
장곡동,3,8,장곡동 매꼴삼성 247동
장곡동,4,1,장곡동 828 진말우성 111동
장곡동,4,2,장곡동 진말우성 112동
장곡동,4,3,장곡동 진말우성 113동
장곡동,4,4,장곡동 진말우성 114동
장곡동,4,5,장곡동 진말우성 115동
장곡동,5,1,장곡동 828 진말대우 116동
장곡동,5,2,장곡동 진말대우 117동
장곡동,5,3,장곡동 진말대우 118동
장곡동,5,4,장곡동 진말대우 119동
장곡동,5,5,장곡동 진말대우 120동
장곡동,6,1,장곡동 806 숲속마을 221동
장곡동,6,2,장곡동 숲속마을 222동
장곡동,6,3,장곡동 숲속마을 223동
장곡동,6,4,장곡동 숲속마을 224동
장곡동,6,5,장곡동 숲속마을 225동
장곡동,6,6,장곡동 숲속마을 226동
장곡동,7,1,장곡동 숲속마을 227동
장곡동,7,2,장곡동 숲속마을 228동
장곡동,7,3,장곡동 숲속마을 229동
장곡동,7,4,장곡동 숲속마을 230동
장곡동,7,5,장곡동 숲속마을 231동
장곡동,7,6,"장곡동 숲속마을 232동, 상가"
장곡동,8,1,"장곡동 807 숲속마을 201동, 상가"
장곡동,8,2,장곡동 숲속마을 202동
장곡동,8,3,장곡동 숲속마을 203동
장곡동,8,4,장곡동 숲속마을 204동
장곡동,8,5,장곡동 숲속마을 205동
장곡동,8,6,장곡동 숲속마을 206동
장곡동,9,1,장곡동 숲속마을 207동
장곡동,9,2,장곡동 숲속마을 208동
장곡동,9,3,장곡동 숲속마을 209동
장곡동,9,4,장곡동 숲속마을 210동
장곡동,9,5,"장곡동 숲속마을 211동, 상가"
장곡동,9,6,장곡동 숲속마을 212동>
장곡동,10,1,"장곡동 829 진말삼환 101동, 상가"
장곡동,10,2,장곡동 진말삼환 102동
장곡동,10,3,장곡동 진말삼환 103동
장곡동,10,4,장곡동 진말삼환 104동
장곡동,10,5,장곡동 진말삼환 105동
장곡동,11,1,장곡동 진말한진 106동
장곡동,11,2,장곡동 진말한진 107동
장곡동,11,3,장곡동 진말한진 108동
장곡동,11,4,장곡동 진말한진 109동
장곡동,11,5,장곡동 진말한진 110동
장곡동,12,1,장곡동 824 대우3차 121동
장곡동,12,2,장곡동 대우3차 122동
장곡동,12,3,장곡동 대우3차 123동
장곡동,12,4,장곡동 대우3차 124동
장곡동,12,5,장곡동 대우3차 125동
장곡동,12,6,장곡동 대우3차 126동
장곡동,12,7,"장곡동 대우3차 127동, 상가"
장곡동,13,1,장곡동 804 매꼴동양 251동
장곡동,13,2,장곡동 매꼴동양 252동
장곡동,13,3,장곡동 804 매꼴동양 253동
장곡동,13,4,장곡동 매꼴동양 254동
장곡동,13,5,장곡동 매꼴동양 255동
장곡동,14,1,장곡동 1-3 연성쉐르빌 501～920
장곡동,14,2,"장곡동 연성쉐르빌 1001～1414, 상가"
장곡동,14,3,장곡동 811-1～8
장곡동,15,1,장곡동 숲속마을 213동
장곡동,15,2,장곡동 숲속마을 214동
장곡동,15,3,장곡동 숲속마을 215동
장곡동,15,4,장곡동 숲속마을 216동
장곡동,15,5,장곡동 숲속마을 217동
장곡동,15,6,장곡동 숲속마을 218동
장곡동,16,1,"장곡동 355-12 시흥장현LH17단지 1701동, 상가"
장곡동,17,1,시흥장현LH17단지 1702동
장곡동,17,2,시흥장현LH17단지 1705동
장곡동,18,1,시흥장현LH17단지 1703동
장곡동,18,2,시흥장현LH17단지 1704동
장곡동,19,1,장곡동 879
장곡동,19,2,"시흥장현LH19단지 1901동, 상가"
장곡동,19,3,시흥장현LH19단지 1903동
장곡동,20,1,시흥장현LH19단지 1902동
장곡동,21,1,"장곡동 206-2 시흥장현루벤시아1차 2101동, 상가"
장곡동,21,2,시흥장현루벤시아1차 2102동
장곡동,21,3,시흥장현루벤시아1차 2103동
장곡동,22,1,시흥장현루벤시아1차 2104동
장곡동,22,2,시흥장현루벤시아1차 2105동
장곡동,22,3,시흥장현루벤시아1차 2106동
장곡동,22,4,시흥장현루벤시아1차 2107동
장곡동,23,1,"장현동 96 시흥장현루벤시아2차 2401동, 상가"
장곡동,23,2,시흥장현루벤시아2차 2402동
장곡동,23,3,시흥장현루벤시아2차 2403동
장곡동,23,4,시흥장현루벤시아2차 2404동
장곡동,23,5,시흥장현루벤시아2차 2405동
장곡동,24,1,"장현동 369 시흥장현호반써밋 1201동, 상가"
장곡동,24,2,장현동 시흥장현호반써밋 1202동
장곡동,24,3,장현동 시흥장현호반써밋 1203동
장곡동,24,4,장현동 시흥장현호반써밋 1204동
장곡동,25,1,장현동 시흥장현호반써밋 1205동
장곡동,25,2,장현동 시흥장현호반써밋 1206동
장곡동,25,3,장현동 시흥장현호반써밋 1207동
