행정동,통,반,관할구역
신천동,1,1,"신천동 709-32(시흥5차 푸르지오Ⓐ 101동1～4호, 상가)"
신천동,1,2,신천동 709-32(시흥5차 푸르지오Ⓐ 101동5～8호)
신천동,1,3,신천동 709-32(시흥5차 푸르지오Ⓐ 102동1～4호)
신천동,1,4,신천동 709-32(시흥5차 푸르지오Ⓐ 102동5～8호)
신천동,2,1,"신천동 704-4～36, 52, 53"
신천동,2,2,"신천동 705, 705-1～29"
신천동,2,3,신천동 705-30～46
신천동,2,4,"신천동 706, 706-1～4, 17～20, 22, 24, 25"
신천동,2,5,"신천동 713, 713-1～20"
신천동,3,1,신천동 701-2～9
신천동,3,2,"신천동 701, 701-1, 15～20, 27"
신천동,3,3,"신천동 701-10～14, 21～25, 28～30"
신천동,3,4,"신천동 702, 702-1～13"
신천동,3,5,"신천동 703-1～9, 14～16, 32, 33"
신천동,3,6,"신천동 703-10～12, 17～31"
신천동,3,7,"신천동 704, 704-1～3, 41～46"
신천동,4,1,"신천동 314-12～14, 149, 720, 720-1～24"
신천동,4,2,신천동 314-23～33
신천동,4,3,"신천동 719, 719-1～13"
신천동,4,4,"신천동 314-36～48, 718-1～8"
신천동,4,5,신천동 314-96～105
신천동,4,6,"신천동 314-90～95, 717, 717-1～6"
신천동,5,1,"신천동 314-106～110, 716"
신천동,5,2,신천동 314-113～129ㆍ148ㆍ161
신천동,5,3,신천동 715(부번지 포함)
신천동,5,4,신천동 314-67～89ㆍ162
신천동,5,5,"신천동 314-60～63, 724"
신천동,5,6,신천동 725(부번지 포함)
신천동,6,1,"신천동 721, 314-15ㆍ131"
신천동,6,2,"신천동 722, 722-1～19"
신천동,6,3,신천동 314-17～22
신천동,6,4,"신천동 314-49～59, 314-155"
신천동,6,5,"신천동 723, 723-1～18"
신천동,6,6,신천동 411～418
신천동,7,1,"신천동 422, 423(부번지 포함)"
신천동,7,2,신천동 422(부번지 포함)
신천동,7,3,신천동 595(부번지 포함)
신천동,7,4,"신천동 595, 605(부번지 포함)"
신천동,8,1,"신천동 737, 738(부번지 포함)"
신천동,8,2,신천동 739(부번지 포함)
신천동,8,3,신천동 740(부번지 포함)
신천동,8,4,"신천동 733, 734, 735(부번지 포함)"
신천동,9,1,신천동 741(부번지 포함)
신천동,9,2,"신천동 742, 743, 744(부번지 포함)"
신천동,9,3,신천동 745(부번지 포함)
신천동,9,4,신천동 746(부번지 포함)
신천동,9,5,신천동 747(부번지 포함) 외 기타지역(그린벨트)
신천동,10,1,"신천동 754, 754-1～3, 10～13ㆍ23"
신천동,10,2,"신천동 754-4～9, 14～22"
신천동,10,3,신천동 755-12～19(팔팔주택)
신천동,10,4,"신천동 755, 755-1, 755-21～25"
신천동,10,5,신천동 755-4～11
신천동,10,6,"신천동 756, 756-1～13"
신천동,11,1,"신천동 760, 760-1～12"
신천동,11,2,신천동 760-13～22
신천동,11,3,신천동 759(부번지 포함)
신천동,11,4,신천동 761(부번지 포함)
신천동,11,5,신천동 375-3(장미아파트 가동)
신천동,11,6,신천동 375-2(장미아파트 나동)
신천동,12,1,신천동 757(부번지 포함)
신천동,12,2,신천동 758(부번지 포함)
신천동,12,3,신천동 752(부번지 포함)
신천동,12,4,신천동 753(부번지 포함)
신천동,13,1,"신천동 378-2ㆍ5ㆍ7ㆍ9ㆍ10～16, 380-5, 380-14～17"
신천동,13,2,신천동 839-1～839-13
신천동,13,3,신천동 840-1～10
신천동,13,4,"신천동 380-2, 839-14"
신천동,13,5,신천동 387외 4필지(태광Ⓐ 가동)
신천동,13,6,신천동 387외 4필지(태광Ⓐ 나동)
신천동,13,7,신천동 387외 4필지(태광Ⓐ 다동)
신천동,13,8,"신천동 379-1ㆍ6ㆍ7ㆍ9, 380, 387-3～7, 388-10ㆍ15"
신천동,14,1,"신천동 384-2(동경4차 가, 나동)"
신천동,14,2,"신천동 877-1～6, 877-13ㆍ15ㆍ23"
신천동,14,3,"신천동 877-9～12ㆍ14ㆍ16～20, 877-22ㆍ24"
신천동,14,4,신천동 833-1～7
신천동,14,5,신천동 834-9～13
신천동,14,6,신천동 834-1～8
신천동,14,7,신천동 834-14～29
신천동,15,1,신천동 835-1～835-21
신천동,15,2,신천동 835-22～835-31
신천동,15,3,"신천동 836-1～836-4, 836-13"
신천동,15,4,신천동 836-6～836-9
신천동,15,5,신천동 828-4 (금보아파트 가동)
신천동,15,6,신천동 828-4 (금보아파트 나동)
