행정동,통,반,관할구역
정왕2동,1,1,정왕동 1874-1(신한아파트 101동)
정왕2동,1,2,정왕동 1874-1(신한아파트 102동)
정왕2동,1,3,정왕동 1874-1(신한아파트 103동)
정왕2동,1,4,정왕동 1874-1(신한아파트 104동)
정왕2동,1,5,정왕동 1874-1(신한아파트 105동)
정왕2동,1,6,정왕동 1874-1(신한아파트 106동)
정왕2동,1,7,정왕동 1874-1(신한아파트 107동)
정왕2동,2,1,정왕동 1874-2(화성아파트 101동)
정왕2동,2,2,정왕동 1874-2(화성아파트 102동)
정왕2동,2,3,정왕동 1874-2(화성아파트 103동)
정왕2동,2,4,정왕동 1874-2(화성아파트 104동)
정왕2동,2,5,정왕동 1874-2(화성아파트 105동)
정왕2동,2,6,정왕동 1874-2(화성아파트 106동)
정왕2동,2,7,정왕동 1874-2(화성아파트 107동)
정왕2동,2,8,정왕동 1874-2(화성아파트 108동)
정왕2동,2,9,정왕동 1874-2(화성아파트 109동)
정왕2동,2,10,정왕동 1874-2(화성아파트 110동)
정왕2동,2,11,정왕동 1874-2(화성아파트 111동)
정왕2동,3,1,정왕동 1873-2(영남아파트 201동)
정왕2동,3,2,정왕동 1873-2(영남아파트 202동)
정왕2동,3,3,정왕동 1873-2(영남아파트 203동)
정왕2동,3,4,정왕동 1873-2(영남아파트 204동)
정왕2동,3,5,정왕동 1873-2(영남아파트 205동)
정왕2동,3,6,"정왕동 1873-2(영남아파트 206동, 상가)"
정왕2동,4,1,정왕동 1873-2(영남아파트 207동)
정왕2동,4,2,정왕동 1873-2(영남아파트 208동)
정왕2동,4,3,정왕동 1873-2(영남아파트 209동)
정왕2동,4,4,정왕동 1873-2(영남아파트 210동)
정왕2동,4,5,정왕동 1873-2(영남아파트 211동)
정왕2동,4,6,정왕동 1873-2(영남아파트 212동)
정왕2동,4,7,정왕동 1873-2(영남아파트 213동)
정왕2동,4,8,정왕동 1873-2(영남아파트 214동)
정왕2동,4,9,정왕동 1873-2(영남아파트 215동)
정왕2동,4,10,정왕동 1873-2(영남아파트 216동)
정왕2동,4,11,정왕동 1873-2(영남아파트 217동)
정왕2동,5,1,정왕동 1873-3(월드아파트 101동)
정왕2동,5,2,정왕동 1873-3(월드아파트 102동)
정왕2동,5,3,정왕동 1873-3(월드아파트 103동)
정왕2동,5,4,정왕동 1873-3(월드아파트 104동)
정왕2동,5,5,정왕동 1873-3(월드아파트 105동)
정왕2동,5,6,정왕동 1873-3(월드아파트 106동)
정왕2동,5,7,정왕동 1873-3(월드아파트 107동)
정왕2동,6,1,정왕동 1873-3(월드아파트 108동)
정왕2동,6,2,정왕동 1873-3(월드아파트 109동)
정왕2동,6,3,정왕동 1873-3(월드아파트 110동)
정왕2동,6,4,정왕동 1873-3(월드아파트 111동)
정왕2동,6,5,정왕동 1873-3(월드아파트 112동)
정왕2동,6,6,정왕동 1873-3(월드아파트 113동)
정왕2동,6,7,정왕동 1873-3(월드아파트 114동)
정왕2동,7,1,정왕동 1872-6(한신아파트 101동)
정왕2동,7,2,정왕동 1872-6(한신아파트 102동)
정왕2동,7,3,정왕동 1872-6(한신아파트 103동)
정왕2동,7,4,정왕동 1872-6(한신아파트 104동)
정왕2동,7,5,정왕동 1872-6(한신아파트 105동)
정왕2동,7,6,정왕동 1872-6(한신아파트 106동)
정왕2동,7,7,정왕동 1872-6(한신아파트 107동)
정왕2동,7,8,"정왕동 1872-6(한신아파트 108동, 상가)"
정왕2동,7,9,정왕동 1872-6(한신아파트 109동)
정왕2동,7,10,정왕동 1872-6(한신아파트 110동)
정왕2동,8,1,정왕동 1872-4(영남아파트 301동)
정왕2동,8,2,정왕동 1872-4(영남아파트 302동)
정왕2동,8,3,정왕동 1872-4(영남아파트 303동)
정왕2동,8,4,정왕동 1872-4(영남아파트 304동)
정왕2동,8,5,정왕동 1872-4(영남아파트 305동)
정왕2동,8,6,정왕동 1872-4(영남아파트 306동)
정왕2동,8,7,정왕동 1872-4(영남아파트 307동)
정왕2동,8,8,정왕동 1872-4(영남아파트 308동)
정왕2동,9,1,정왕동 1872-4(영남아파트 309동)
정왕2동,9,2,정왕동 1872-4(영남아파트 310동)
정왕2동,9,3,정왕동 1872-4(영남아파트 311동)
정왕2동,9,4,정왕동 1872-4(영남아파트 312동)
정왕2동,9,5,정왕동 1872-4(영남아파트 313동)
정왕2동,10,1,정왕동 1872-5(삼성아파트 101동)
정왕2동,10,2,정왕동 1872-5(삼성아파트 102동)
정왕2동,10,3,정왕동 1872-5(삼성아파트 103동)
정왕2동,10,4,정왕동 1872-5(삼성아파트 104동)
정왕2동,10,5,정왕동 1872-5(삼성아파트 105동)
정왕2동,10,6,정왕동 1872-5(삼성아파트 106동)
정왕2동,10,7,정왕동 1872-5(삼성아파트 107동)
정왕2동,10,8,정왕동 1872-5(삼성아파트 108동)
정왕2동,10,9,정왕동 1872-5(삼성아파트 109동)
정왕2동,11,1,"정왕동 1394(아주아파트 101동 101호～212호, 아주상가)"
정왕2동,11,2,정왕동 1394(아주아파트 101동 301호～1112호)
