행정동,통,반,관할구역
정왕본동,1,1,정왕동 1～350
정왕본동,1,2,정왕동 351～700
정왕본동,1,3,"정왕동 701～1103, 2149, 2153"
정왕본동,2,1,정왕동 2234～2238
정왕본동,2,2,정왕동 2239～2247
정왕본동,2,3,정왕동 2248～2255
정왕본동,2,4,정왕동 2256～2262
정왕본동,3,1,"정왕동 2293-1, 2293-5～10"
정왕본동,3,2,"정왕동 2293-2～4, 2293-12～15"
정왕본동,3,3,"정왕동 2294-1, 2294-8～13"
정왕본동,3,4,정왕동 2294-2～7
정왕본동,3,5,"정왕동 2295-1, 2295-9～13"
정왕본동,3,6,정왕동 2295-2～8
정왕본동,4,1,"정왕동 2296, 2299"
정왕본동,4,2,"정왕동 2297, 2301"
정왕본동,4,3,정왕동 2298
정왕본동,4,4,정왕동 2300
정왕본동,5,1,정왕동 2302
정왕본동,5,2,정왕동 2303
정왕본동,5,3,정왕동 2304
정왕본동,6,1,정왕동 1801～1803
정왕본동,6,2,정왕동 1804
정왕본동,6,3,정왕동 1805～1806
정왕본동,6,4,정왕동 1807
정왕본동,6,5,정왕동 1808～1809
정왕본동,6,6,정왕동 1810～1811
정왕본동,6,7,"정왕동 876-258, 876-319～324, 876-337,"
정왕본동,7,1,"정왕동 1812, 1813"
정왕본동,7,2,"정왕동 1814, 1815"
정왕본동,7,3,"정왕동 1816, 1817"
정왕본동,7,4,"정왕동 1818, 1819"
정왕본동,7,5,정왕동 1820～1823
정왕본동,7,6,정왕동 1824～1826
정왕본동,8,1,"정왕동 1827, 1828"
정왕본동,8,2,"정왕동 1829, 1830"
정왕본동,8,3,"정왕동 1831, 1832"
정왕본동,8,4,"정왕동 1833, 1834"
정왕본동,8,5,"정왕동 1835, 1836"
정왕본동,8,6,"정왕동 1837, 1838"
정왕본동,9,1,"정왕동 1206, 1207"
정왕본동,9,2,정왕동 1208
정왕본동,9,3,정왕동 1209
정왕본동,9,4,정왕동 1210
정왕본동,9,5,정왕동 1211
정왕본동,10,1,정왕동 1200
정왕본동,10,2,"정왕동 1201, 1202"
정왕본동,10,3,"정왕동 1203, 1204"
정왕본동,10,4,정왕동 1205
정왕본동,10,5,정왕동 1212
정왕본동,10,6,정왕동 1213
정왕본동,11,1,정왕동 1196
정왕본동,11,2,정왕동 1197
정왕본동,11,3,정왕동 1198
정왕본동,11,4,정왕동 1199
정왕본동,11,5,정왕동 1214
정왕본동,11,6,정왕동 1215
정왕본동,12,1,정왕동 1178
정왕본동,12,2,정왕동 1179
정왕본동,12,3,정왕동 1193
정왕본동,12,4,정왕동 1194
정왕본동,12,5,정왕동 1195
정왕본동,13,1,정왕동 1180
정왕본동,13,2,정왕동 1190
정왕본동,13,3,정왕동 1191
정왕본동,13,4,정왕동 1192
정왕본동,14,1,정왕동 1181
정왕본동,14,2,정왕동 1187
정왕본동,14,3,정왕동 1188
정왕본동,14,4,정왕동 1189
정왕본동,15,1,정왕동 1161
정왕본동,15,2,정왕동 1162
정왕본동,15,3,"정왕동 1182, 1183"
정왕본동,15,4,정왕동 1184
정왕본동,15,5,정왕동 1185
정왕본동,15,6,정왕동 1186
정왕본동,16,1,정왕동 1171
정왕본동,16,2,정왕동 1172
정왕본동,16,3,정왕동 1173
정왕본동,16,4,정왕동 1174
정왕본동,16,5,"정왕동 1175, 1176"
정왕본동,16,6,정왕동 1177
정왕본동,17,1,정왕동 1163
정왕본동,17,2,"정왕동 1164, 1165"
정왕본동,17,3,정왕동 1166
정왕본동,17,4,정왕동 1167
정왕본동,17,5,정왕동 1168
정왕본동,17,6,"정왕동 1169, 1170"
정왕본동,18,1,정왕동 1499
정왕본동,18,2,정왕동 1500
정왕본동,18,3,정왕동 1501
정왕본동,18,4,정왕동 1502
정왕본동,18,5,정왕동 1509
정왕본동,19,1,"정왕동 1503, 1504"
정왕본동,19,2,정왕동 1505
정왕본동,19,3,"정왕동 1506, 1507"
정왕본동,19,4,정왕동 1508
정왕본동,19,5,정왕동 1525
정왕본동,20,1,정왕동 1510
정왕본동,20,2,"정왕동 1511, 1512"
정왕본동,20,3,정왕동 1513
정왕본동,20,4,정왕동 1514
정왕본동,20,5,정왕동 1515
정왕본동,20,6,정왕동 1526
