통,법정동,지번
32,정왕동,2202-6
25,정왕동,1100-5
25,정왕동,1100-4
25,정왕동,1100-3
25,정왕동,1100-2
25,정왕동,1100-1
25,정왕동,1100
25,정왕동,1099-6
25,정왕동,1099-5
25,정왕동,1099-4
25,정왕동,1099-3
25,정왕동,1099-2
25,정왕동,1099-1
25,정왕동,1099
25,정왕동,1098-5
25,정왕동,1098-4
25,정왕동,1098-3
25,정왕동,1098-2
25,정왕동,1098-1
25,정왕동,1097-5
25,정왕동,1097-4
25,정왕동,1097-3
25,정왕동,1097-2
25,정왕동,1097-1
25,정왕동,1097
25,정왕동,1096-6
25,정왕동,1096-5
25,정왕동,1096-4
25,정왕동,1096-3
25,정왕동,1096-2
25,정왕동,1096-1
25,정왕동,1096
25,정왕동,1091
25,정왕동,1090-2
25,정왕동,1090
25,정왕동,908-7
25,정왕동,908-5
25,정왕동,908-4
25,정왕동,908-1
25,정왕동,908
25,정왕동,907
25,정왕동,906-1
25,정왕동,906
25,정왕동,905
25,정왕동,904-1
25,정왕동,904
25,정왕동,903-2
25,정왕동,903-1
25,정왕동,903
25,정왕동,902-2
25,정왕동,902
25,정왕동,901
25,정왕동,900
25,정왕동,899-7
25,정왕동,899-6
25,정왕동,899-5
25,정왕동,899-4
25,정왕동,899-3
25,정왕동,899-2
25,정왕동,899
25,정왕동,898
25,정왕동,897
25,정왕동,896
25,정왕동,895
25,정왕동,894
25,정왕동,893-9
25,정왕동,893-8
25,정왕동,893-7
25,정왕동,893-6
25,정왕동,893-5
25,정왕동,893-4
25,정왕동,893-3
25,정왕동,893-2
25,정왕동,893-1
25,정왕동,893
25,정왕동,892
25,정왕동,891-11
25,정왕동,891-10
25,정왕동,891-9
25,정왕동,891-8
25,정왕동,891-7
25,정왕동,891-6
25,정왕동,891-4
25,정왕동,891-3
25,정왕동,891-2
25,정왕동,891
25,정왕동,890
25,정왕동,889-2
25,정왕동,889
25,정왕동,888-6
25,정왕동,888-4
25,정왕동,888-3
25,정왕동,888-1
25,정왕동,888
25,정왕동,887-33
25,정왕동,887-32
25,정왕동,887-31
25,정왕동,887-30
25,정왕동,887-29
25,정왕동,887-28
25,정왕동,887-27
25,정왕동,887-26
25,정왕동,887-25
25,정왕동,887-24
25,정왕동,887-23
25,정왕동,887-22
25,정왕동,887-21
25,정왕동,887-15
25,정왕동,887-14
25,정왕동,887-13
25,정왕동,887-12
25,정왕동,887-11
25,정왕동,887-10
25,정왕동,887-9
25,정왕동,887-8
25,정왕동,887-7
25,정왕동,887-4
25,정왕동,887-3
25,정왕동,887-2
25,정왕동,887-1
25,정왕동,886-3
25,정왕동,886-2
25,정왕동,886
25,정왕동,885
25,정왕동,884
25,정왕동,883
25,정왕동,882
25,정왕동,881
25,정왕동,880
25,정왕동,879-6
25,정왕동,879-4
25,정왕동,878-21
25,정왕동,878-20
25,정왕동,878-19
25,정왕동,878-18
25,정왕동,878-17
25,정왕동,878-16
25,정왕동,878-15
25,정왕동,878-14
25,정왕동,878-13
25,정왕동,878-12
25,정왕동,878-10
25,정왕동,878-9
25,정왕동,878-8
25,정왕동,878-7
25,정왕동,878-2
25,정왕동,878-1
25,정왕동,878
25,정왕동,877-14
25,정왕동,877-13
25,정왕동,877-12
25,정왕동,877-11
25,정왕동,877-10
25,정왕동,877-8
25,정왕동,877-7
25,정왕동,877-6
25,정왕동,877-5
25,정왕동,877-4
25,정왕동,877-3
25,정왕동,877-2
25,정왕동,877-1
25,정왕동,877
25,정왕동,876-769
25,정왕동,876-768
25,정왕동,876-766
25,정왕동,876-765
25,정왕동,876-764
25,정왕동,876-763
25,정왕동,876-762
25,정왕동,876-761
25,정왕동,876-754
25,정왕동,876-753
25,정왕동,876-752
25,정왕동,876-751
25,정왕동,876-750
25,정왕동,876-749
25,정왕동,876-748
25,정왕동,876-747
25,정왕동,876-746
25,정왕동,876-737
25,정왕동,876-736
25,정왕동,876-735
25,정왕동,876-734
25,정왕동,876-732
25,정왕동,876-731
25,정왕동,876-730
25,정왕동,876-729
25,정왕동,876-728
25,정왕동,876-727
25,정왕동,876-726
25,정왕동,876-720
25,정왕동,876-711
25,정왕동,876-710
25,정왕동,876-709
25,정왕동,876-706
25,정왕동,876-705
25,정왕동,876-704
25,정왕동,876-703
25,정왕동,876-702
25,정왕동,876-701
25,정왕동,876-700
25,정왕동,876-699
25,정왕동,876-698
25,정왕동,876-697
25,정왕동,876-695
25,정왕동,876-694
25,정왕동,876-693
25,정왕동,876-692
25,정왕동,876-689
25,정왕동,876-688
25,정왕동,876-687
25,정왕동,876-686
25,정왕동,876-684
25,정왕동,876-683
25,정왕동,876-682
25,정왕동,876-681
25,정왕동,876-679
25,정왕동,876-678
25,정왕동,876-677
25,정왕동,876-673
25,정왕동,876-672
25,정왕동,876-671
25,정왕동,876-670
25,정왕동,876-669
25,정왕동,876-665
25,정왕동,876-663
25,정왕동,876-662
25,정왕동,876-661
25,정왕동,876-655
25,정왕동,876-654
25,정왕동,876-653
25,정왕동,876-652
25,정왕동,876-644
25,정왕동,876-643
25,정왕동,876-642
25,정왕동,876-641
25,정왕동,876-640
25,정왕동,876-639
25,정왕동,876-638
25,정왕동,876-637
25,정왕동,876-636
25,정왕동,876-635
25,정왕동,876-634
25,정왕동,876-633
25,정왕동,876-632
25,정왕동,876-630
25,정왕동,876-627
25,정왕동,876-626
25,정왕동,876-625
25,정왕동,876-624
25,정왕동,876-623
25,정왕동,876-622
25,정왕동,876-621
25,정왕동,876-620
25,정왕동,876-619
25,정왕동,876-618
25,정왕동,876-617
25,정왕동,876-616
25,정왕동,876-615
