통,반,_dong,_jib,_fill
27,0,정왕동,2044,road_split
22,0,정왕동,2044,road_split
23,0,정왕동,2044,road_split
21,0,정왕동,2044,road_split
25,0,정왕동,2044,road_split
22,0,정왕동,2045,road_split
21,0,정왕동,2045,road_split
21,0,정왕동,2046,road_match
21,0,정왕동,2047,road_match
21,0,정왕동,2048,road_match
27,0,정왕동,2049,road_split
22,0,정왕동,2049,road_split
28,0,정왕동,2049,road_split
26,0,정왕동,2049,road_split
21,0,정왕동,2049,road_split
24,0,정왕동,2049,road_split
25,0,정왕동,2049,road_split
23,0,정왕동,2049,road_split
23,0,정왕동,2050,road_match
26,0,정왕동,2051,road_split
24,0,정왕동,2051,road_split
25,0,정왕동,2051,road_split
23,0,정왕동,2051,road_split
24,0,정왕동,2052,road_match
24,0,정왕동,2053,road_match
24,0,정왕동,2054,road_match
24,0,정왕동,2055,road_split
23,0,정왕동,2055,road_split
25,0,정왕동,2056,road_split
23,0,정왕동,2056,road_split
29,0,정왕동,2056-1,road_split
28,0,정왕동,2056-1,road_split
25,0,정왕동,2056-1,road_split
26,0,정왕동,2057,road_split
25,0,정왕동,2057,road_split
26,0,정왕동,2058,road_split
25,0,정왕동,2058,road_split
26,0,정왕동,2059,road_split
25,0,정왕동,2059,road_split
22,0,정왕동,2060,road_match
22,0,정왕동,2061,road_match
22,0,정왕동,2062,road_match
31,0,정왕동,2065,road_split
30,0,정왕동,2065,road_split
27,0,정왕동,2065,road_split
32,0,정왕동,2065,road_split
31,0,정왕동,2066,road_split
30,0,정왕동,2066,road_split
27,0,정왕동,2066,road_split
27,0,정왕동,2067,road_match
31,0,정왕동,2068,road_split
30,0,정왕동,2068,road_split
32,0,정왕동,2068,road_split
29,0,정왕동,2068,road_split
27,0,정왕동,2068,road_split
28,0,정왕동,2068,road_split
28,0,정왕동,2069,road_match
28,0,정왕동,2070,road_match
32,0,정왕동,2071,road_split
29,0,정왕동,2071,road_split
28,0,정왕동,2071,road_split
25,0,정왕동,2071,road_split
29,0,정왕동,2072,road_match
29,0,정왕동,2073,road_match
29,0,정왕동,2074,road_match
29,0,정왕동,2075,road_match
30,0,정왕동,2076,road_match
30,0,정왕동,2077,road_match
30,0,정왕동,2078,road_match
31,0,정왕동,2079,road_match
31,0,정왕동,2080,road_match
31,0,정왕동,2081,road_match
32,0,정왕동,2082,road_match
32,0,정왕동,2083,road_match
32,0,정왕동,2084,road_match
32,0,정왕동,2085,road_match
28,0,정왕동,2086,road_match
25,0,정왕동,2124,road_match
25,0,정왕동,2126,road_match
25,0,정왕동,2127,road_match
25,0,정왕동,2128,road_match
25,0,정왕동,2130,road_match
25,0,정왕동,2131,road_match
20,0,정왕동,2136,road_match
20,0,정왕동,2137,road_match
25,0,정왕동,2139,road_split
14,0,정왕동,2139,road_split
10,0,정왕동,2139,road_split
19,0,정왕동,2141,road_split
25,0,정왕동,2141,road_split
25,0,정왕동,2144,road_match
25,0,정왕동,2144-1,road_match
25,0,정왕동,2144-2,road_match
25,0,정왕동,2147,road_match
25,0,정왕동,2152,road_match
25,0,정왕동,2153-1,road_match
19,0,정왕동,2164-5,road_match
18,0,정왕동,2164-6,road_match
25,0,정왕동,2167-10,road_match
19,0,정왕동,2168-1,road_split
18,0,정왕동,2168-1,road_split
25,0,정왕동,2168-1,road_split
25,0,정왕동,2168-2,road_match
25,0,정왕동,2168-4,road_match
25,0,정왕동,2168-5,road_match
25,0,정왕동,2199-2,road_split
20,0,정왕동,2199-2,road_split
20,0,정왕동,2199-3,road_match
20,0,정왕동,2199-4,road_match
20,0,정왕동,2199-5,road_match
20,0,정왕동,2199-6,road_match
32,0,정왕동,2202-2,road_match
32,0,정왕동,2202-7,road_match
25,0,정왕동,2202-9,road_match
25,0,정왕동,2202-10,road_match
32,0,정왕동,2202-11,road_match
25,0,정왕동,2202-12,road_match
32,0,정왕동,2202-13,road_match
32,0,정왕동,2202-14,road_match
32,0,정왕동,2202-15,road_match
32,0,정왕동,2202-18,road_match
25,0,정왕동,2202-19,road_match
25,0,정왕동,1806-6,road_match
25,0,정왕동,1799-6,road_match
25,0,정왕동,1799-3,road_match
25,0,정왕동,1795,road_match
25,0,정왕동,1777-2,road_match
25,0,정왕동,1759,road_match
25,0,정왕동,1758,road_match
25,0,정왕동,1755,road_match
25,0,정왕동,1747,road_match
25,0,정왕동,1746,road_match
20,0,정왕동,2207-6,road_match
32,0,정왕동,2207-35,road_match
20,0,정왕동,2216-3,road_match
20,0,정왕동,2217-1,road_match
20,0,정왕동,2218,road_match
20,0,정왕동,2219,road_match
20,0,정왕동,2224,road_match
20,0,정왕동,2225,road_match
20,0,정왕동,2225-1,road_match
20,0,정왕동,2226,road_match
25,0,정왕동,2227,road_split
20,0,정왕동,2227,road_split
20,0,정왕동,2227-1,road_match
25,0,정왕동,2228,road_split
20,0,정왕동,2228,road_split
25,0,정왕동,2229,road_split
20,0,정왕동,2229,road_split
25,0,정왕동,2229-1,road_split
20,0,정왕동,2229-1,road_split
25,0,정왕동,2230,road_match
20,0,정왕동,2231,road_match
20,0,정왕동,2232,road_match
25,0,정왕동,2262-22,road_match
25,0,정왕동,2263,road_match
25,0,정왕동,2264,road_match
25,0,정왕동,2272,road_match
25,0,정왕동,2283,road_match
25,0,정왕동,2326-6,road_match
25,0,정왕동,2326-7,road_match
25,0,정왕동,2326-8,road_match
25,0,정왕동,2334,road_match
25,0,정왕동,2343,road_match
