행정동,통,반,관할구역
과림동,1,1,"무지내동 256～260, 349-1～3, 350～371-1, 372-1, 산40-1,373-5, 420～431, 455-3, 462-1, 467-3, 473-3, 485, 495-3, 505-1, 512-2, 518-4, 519-4, 536-2, 543-1, 545-1, 547-1, 산49, 산58, 산61-2"
과림동,1,2,"무지내동 196-1, 198-2, 200-1, 220-2~3, 203-5, 213-1, 235, 252-1, 269, 284-11, 341, 341-3, 343, 345-8, 349-4, 349-18, 273, 274,"
과림동,1,3,"무지내동 산21-1, 산20-3, 산19-1, 289～317, 338～339, 190-1, 320-5, 331"
과림동,2,1,"무지내동 8, 5-2, 13-1～55-2, 120-2, 122-1,  557, 산1～산7, 산18-6, 산15-1, 산16, 552-10"
과림동,2,2,"무지내동 137～167, 134, 200-2"
과림동,3,1,"과림동 431-1, 484-3, 489-3, 490-5～490-11, 496-50～51, 509-1, 529, 519-7, 530, 545-5, 546-2, 570, 580, 584, 산69, 산72, 산74-2, 산89-2, 산91-1~5,"
과림동,3,2,"과림동 587～596, 596-2～628, 산45, 산51, 산53, 600"
과림동,3,3,"과림동 629-1～654-5, 668-1～669, 596-1, 산63, 663～665, 751-2～752, 756-1, 산74-2, 산89-2, 산91-5, 산91-1"
과림동,3,4,"과림동 692-3, 703-2, 712, 718, 732-2～737-1, 739-1, 770-9, 74-1～747-1, 759～788, 산82-2～산91-2, 산80-1"
과림동,4,1,"과림동 160, 181-16~18,  262-3, 196-3~4, 312-2, 317-4~7, 320, 320-1～17, 322, 330, 399, 395 ~ 395-11"
과림동,4,2,"과림동 254-2, 255-2, 257, 298-1, 306, 309, 310, 339, 306-1, 340, 341, 345-1ㆍ2,  336-1, 342-2, 343-1, 346, 353, 388-9, 338-12, 336-2"
과림동,4,3,"과림동 284-3, 344, 287-5, 360-2, 347, 348-2,354-2～4, 385-2ㆍ4, 445-3,431-2~4, 434-2, 451-1, 417, 산18-1, 산23-7, 산25-1, 산35, 산40-25, 산40-1"
과림동,4,4,"과림동 254-2, 255-2, 257～285, 274-2, 360-8, 365, 376-5, 366-1, 165, 166, 458, 367, 367-1, 368, 377, 산31-3,  산17～산41"
과림동,5,1,"과림동 98-1, 99-4, 140, 108-3, 120,  142-16, 146-6, 150-8, 152-1, 177, 178-22, 179-2~10, 184-12, 194, 195-4, 203～238-4, 790-12~14, 790-108, 산7-1, 13-1～산13-7, 산14-1～산16-1"
과림동,5,2,"과림동 82, 34~34-10, 39-3, 46-1～58-5, 64-2～5ㆍ7, 66-4ㆍ5, 67-1, 97, 98, 99"
과림동,5,3,"과림동 14-1～20-2, 60-1～63-2, 64-1ㆍ6, 65-2, 65-8, 66-2, 66-1, 산3-1～10"
과림동,5,4,과림동 1-1～13-2
