통,반,_dong,_jib,_fill
1,0,정왕동,1154,road_split
3,0,정왕동,1154,road_split
3,0,정왕동,1155,road_split
3,0,정왕동,1158,road_match
3,0,정왕동,1158-4,road_match
1,0,정왕동,1776,road_match
21,0,정왕동,1875-7,road_split
18,0,정왕동,1875-7,road_split
17,0,정왕동,1875-7,road_split
10,0,정왕동,1876-4,road_split
9,0,정왕동,1876-4,road_split
11,0,정왕동,1876-4,road_split
5,0,정왕동,1877-7,road_split
7,0,정왕동,1877-7,road_split
6,0,정왕동,1877-7,road_split
4,0,정왕동,1877-7,road_split
5,0,정왕동,1892,road_match
1,0,정왕동,1893,road_match
13,0,정왕동,1894,road_match
13,0,정왕동,1895,road_match
13,0,정왕동,1896,road_split
20,0,정왕동,1896,road_split
21,0,정왕동,1896,road_split
11,0,정왕동,1896,road_split
17,0,정왕동,1896,road_split
10,0,정왕동,1896,road_split
15,0,정왕동,1896,road_split
9,0,정왕동,1896,road_split
20,0,정왕동,1898,road_split
18,0,정왕동,1898,road_split
21,0,정왕동,1898,road_split
3,0,정왕동,2144,road_match
1,0,정왕동,1888-2,road_split
3,0,정왕동,1888-2,road_split
5,0,정왕동,1891,road_split
6,0,정왕동,1891,road_split
4,0,정왕동,1891,road_split
2,0,정왕동,1891,road_split
3,0,정왕동,1891,road_split
2,0,정왕동,1878-7,road_split
3,0,정왕동,1878-7,road_split
1,0,정왕동,1878-7,road_split
13,0,정왕동,1890,road_split
18,0,정왕동,1890,road_split
3,0,정왕동,1890,road_split
5,0,정왕동,1890,road_split
7,0,정왕동,1890,road_split
6,0,정왕동,1890,road_split
9,0,정왕동,1890,road_split
11,0,정왕동,1890,road_split
