통,법정동,지번
1,정왕동,1777-13
1,정왕동,1777-12
1,정왕동,1777-11
1,정왕동,1777-10
1,정왕동,1777-9
1,정왕동,1777-8
1,정왕동,1777-7
1,정왕동,1777-6
1,정왕동,1777-2
1,정왕동,1777-1
1,정왕동,1774-6
1,정왕동,1774-5
1,정왕동,1774-4
1,정왕동,1774-3
1,정왕동,1774-1
1,정왕동,1773-8
1,정왕동,1773-7
1,정왕동,1773-6
1,정왕동,1773-4
1,정왕동,1773-3
1,정왕동,1773-2
1,정왕동,1773-1
1,정왕동,1773
6,정왕동,산114-1
3,정왕동,1144-2
3,정왕동,1133
3,정왕동,1132
3,정왕동,1128-4
3,정왕동,1128-2
3,정왕동,1128
3,정왕동,1127
3,정왕동,1122
3,정왕동,1121
3,정왕동,1120-2
3,정왕동,1120
3,정왕동,1119
3,정왕동,1118-1
3,정왕동,1118
3,정왕동,1117
3,정왕동,1116-1
3,정왕동,1116
3,정왕동,1115-2
3,정왕동,1115
3,정왕동,1112-3
3,정왕동,1112-2
3,정왕동,1112
3,정왕동,1111-2
3,정왕동,1111
3,정왕동,1110-2
3,정왕동,1091
6,정왕동,878-21
6,정왕동,878-20
6,정왕동,878-19
6,정왕동,878-18
6,정왕동,878-17
6,정왕동,878-16
6,정왕동,878-15
6,정왕동,878-14
6,정왕동,878-13
6,정왕동,878-12
6,정왕동,878-10
6,정왕동,878-9
6,정왕동,878-8
6,정왕동,878-7
6,정왕동,878-2
6,정왕동,878-1
6,정왕동,878
6,정왕동,877-1
6,정왕동,876-240
3,정왕동,876-238
3,정왕동,1138
3,정왕동,1135-1
3,정왕동,1137-3
3,정왕동,1136-2
3,정왕동,1134-2
3,정왕동,1145
3,정왕동,1135
3,정왕동,1104
3,정왕동,1145-2
3,정왕동,1138-2
1,정왕동,1777
1,정왕동,1774-2
1,정왕동,1774
3,정왕동,1144-3
3,정왕동,1144
3,정왕동,1134
3,정왕동,1889-1
6,정왕동,1889-2
3,정왕동,1889-3
3,정왕동,1889-6
3,정왕동,1889-9
3,정왕동,1134-1
3,정왕동,2144
1,정왕동,1776
3,정왕동,1158-4
3,정왕동,1158
3,정왕동,1155
1,정왕동,1154
3,정왕동,1154
18,정왕동,1890
3,정왕동,1890
20,정왕동,1898
18,정왕동,1898
21,정왕동,1898
