_dong,_jib,통
배곧동,55,13.0
배곧동,57,11.0
배곧동,58,9.0
배곧동,139,19.0
배곧동,135,16.0
배곧동,150,22.0
배곧동,155,25.0
배곧동,174,28.0
배곧동,5,3.0
배곧동,7,1.0
배곧동,14,6.0
