통,반,_dong,_jib,_fill
9,0,배곧동,46,road_split
11,0,배곧동,46,road_split
13,0,배곧동,46,road_split
11,0,배곧동,56,road_split
13,0,배곧동,56,road_split
9,0,배곧동,60,road_split
12,0,배곧동,60,road_split
11,0,배곧동,60,road_split
13,0,배곧동,60,road_split
12,0,배곧동,67,road_match
12,0,배곧동,71,road_match
12,0,배곧동,74,road_match
8,0,배곧동,78-6,road_match
8,0,배곧동,78-12,road_match
8,0,배곧동,78-20,road_match
8,0,배곧동,80,road_match
8,0,배곧동,84,road_match
8,0,배곧동,87,road_match
8,0,배곧동,88-5,road_match
8,0,배곧동,90-4,road_match
8,0,배곧동,91,road_match
8,0,배곧동,96,road_match
8,0,배곧동,120,road_match
8,0,배곧동,98,road_match
8,0,배곧동,130,road_match
8,0,배곧동,101-5,road_match
16,0,배곧동,137,road_split
19,0,배곧동,137,road_split
22,0,배곧동,145,road_match
22,0,배곧동,154,road_split
25,0,배곧동,154,road_split
8,0,배곧동,100-4,road_match
8,0,배곧동,100-11,road_match
8,0,배곧동,100-16,road_match
8,0,배곧동,101-2,road_match
8,0,배곧동,101-13,road_match
8,0,배곧동,101-20,road_match
8,0,배곧동,101-27,road_match
8,0,배곧동,101-34,road_match
25,0,배곧동,165,road_split
28,0,배곧동,165,road_split
29,0,배곧동,168,road_match
8,0,배곧동,102-5,road_match
8,0,배곧동,103-7,road_match
8,0,배곧동,104,road_match
8,0,배곧동,106-1,road_match
8,0,배곧동,107,road_match
8,0,배곧동,111-9,road_match
8,0,배곧동,116,road_split
12,0,배곧동,116,road_split
29,0,배곧동,116,road_split
8,0,배곧동,142,road_match
8,0,배곧동,89,road_match
6,0,배곧동,6,road_split
3,0,배곧동,6,road_split
1,0,배곧동,6,road_split
2,0,배곧동,16,road_match
2,0,배곧동,18-2,road_match
2,0,배곧동,18-6,road_match
2,0,배곧동,18-13,road_match
3,0,배곧동,316,road_split
1,0,배곧동,316,road_split
6,0,배곧동,314,road_split
3,0,배곧동,314,road_split
