통,법정동,지번
1,정왕동,1032-15
1,정왕동,1032-18
1,정왕동,1032-29
1,정왕동,1032-30
1,정왕동,1032-32
1,정왕동,1032-33
1,정왕동,1032-34
1,정왕동,1032-35
1,정왕동,1032-36
1,정왕동,1032-37
1,정왕동,1032-38
1,정왕동,1032-39
1,정왕동,1032-40
1,정왕동,1032-41
1,정왕동,1033
1,정왕동,1033-1
1,정왕동,1033-2
1,정왕동,1033-3
1,정왕동,1033-4
1,정왕동,1033-5
1,정왕동,1033-6
1,정왕동,1033-8
1,정왕동,1033-9
1,정왕동,1033-10
1,정왕동,1033-11
1,정왕동,1033-14
1,정왕동,1033-15
1,정왕동,1033-16
1,정왕동,1033-17
1,정왕동,1033-18
1,정왕동,1033-19
1,정왕동,1033-20
1,정왕동,1034
1,정왕동,1034-1
1,정왕동,1035
1,정왕동,1035-1
1,정왕동,1035-2
1,정왕동,1036
1,정왕동,1037
1,정왕동,1037-1
1,정왕동,1037-2
1,정왕동,1038
1,정왕동,1039
1,정왕동,1039-1
1,정왕동,1039-2
1,정왕동,1039-3
1,정왕동,1040
1,정왕동,1040-1
1,정왕동,1040-2
1,정왕동,1040-3
1,정왕동,1040-4
1,정왕동,1041
1,정왕동,1042
1,정왕동,1043-1
1,정왕동,1043-2
1,정왕동,1043-3
1,정왕동,1043-4
1,정왕동,1043-5
1,정왕동,1043-6
1,정왕동,1043-7
1,정왕동,1044
1,정왕동,1044-1
1,정왕동,1045
1,정왕동,1046
1,정왕동,1047
1,정왕동,1048
1,정왕동,1048-1
1,정왕동,1048-2
1,정왕동,1048-3
1,정왕동,1049
1,정왕동,1050
1,정왕동,1051
1,정왕동,1051-1
1,정왕동,1052
1,정왕동,1053
1,정왕동,1053-1
1,정왕동,1053-2
1,정왕동,1053-3
1,정왕동,1054
1,정왕동,1055
1,정왕동,1055-1
1,정왕동,1055-2
1,정왕동,1056
1,정왕동,1057
1,정왕동,1058
1,정왕동,1058-1
1,정왕동,1059
1,정왕동,1060
1,정왕동,1061
1,정왕동,1062
1,정왕동,1062-1
1,정왕동,1063
1,정왕동,1064
1,정왕동,1064-1
1,정왕동,1065
1,정왕동,1066
1,정왕동,1066-1
1,정왕동,1067
1,정왕동,1067-3
1,정왕동,1068
1,정왕동,1068-1
1,정왕동,1068-2
1,정왕동,1069
1,정왕동,1069-1
1,정왕동,1070
1,정왕동,1071
1,정왕동,1071-1
1,정왕동,1071-2
1,정왕동,1072
1,정왕동,1072-1
1,정왕동,1072-2
1,정왕동,1072-3
1,정왕동,1072-4
1,정왕동,1072-5
1,정왕동,1072-6
1,정왕동,1072-7
1,정왕동,1072-8
1,정왕동,1072-9
1,정왕동,1072-10
1,정왕동,1072-11
1,정왕동,1073
1,정왕동,1073-1
1,정왕동,1073-2
1,정왕동,1073-3
1,정왕동,1073-4
1,정왕동,1073-5
1,정왕동,1073-6
1,정왕동,1073-7
1,정왕동,1073-8
1,정왕동,1073-9
1,정왕동,1073-10
1,정왕동,1073-12
1,정왕동,1073-13
1,정왕동,1073-15
1,정왕동,1073-17
1,정왕동,1074
1,정왕동,1074-1
1,정왕동,1075
1,정왕동,1076
1,정왕동,1076-1
1,정왕동,1076-2
1,정왕동,1076-3
1,정왕동,1076-4
1,정왕동,1076-5
1,정왕동,1076-6
1,정왕동,1076-7
1,정왕동,1076-8
1,정왕동,1076-9
1,정왕동,1076-10
1,정왕동,1076-11
1,정왕동,1077
1,정왕동,1078
1,정왕동,1078-1
1,정왕동,1078-2
1,정왕동,1078-3
1,정왕동,1078-4
1,정왕동,1078-5
1,정왕동,1078-6
1,정왕동,1078-7
1,정왕동,1078-8
1,정왕동,1078-11
1,정왕동,1078-12
1,정왕동,1078-13
1,정왕동,1078-14
1,정왕동,1079
1,정왕동,1080
1,정왕동,1081
1,정왕동,1081-1
1,정왕동,1082
1,정왕동,1082-1
1,정왕동,1082-2
1,정왕동,1083
1,정왕동,1084
1,정왕동,1084-1
1,정왕동,1084-2
1,정왕동,1084-3
1,정왕동,1084-4
1,정왕동,1084-6
1,정왕동,1085-1
1,정왕동,1085-2
1,정왕동,1086
1,정왕동,1086-1
1,정왕동,1086-2
1,정왕동,1087
1,정왕동,1087-1
1,정왕동,1088
1,정왕동,1088-1
1,정왕동,1088-2
1,정왕동,1088-3
1,정왕동,1088-4
1,정왕동,1089
1,정왕동,1089-1
1,정왕동,1089-2
1,정왕동,1089-3
1,정왕동,1089-4
1,정왕동,2373
1,정왕동,1160
1,정왕동,1160-1
1,정왕동,1160-2
1,정왕동,1160-5
1,정왕동,1708-2
1,정왕동,1723-1
1,정왕동,1842-2
1,정왕동,1916
1,정왕동,1939
6,정왕동,1939
1,정왕동,2044
1,정왕동,2056
1,정왕동,2056-1
1,정왕동,2071
1,정왕동,2144
1,정왕동,2144-1
1,정왕동,2147
23,정왕동,2159
1,정왕동,1890
1,정왕동,2199-2
1,정왕동,2202-9
1,정왕동,2202-10
1,정왕동,2202-12
1,정왕동,2202-19
1,정왕동,2227
1,정왕동,2228
1,정왕동,2229
1,정왕동,2229-1
1,정왕동,2230
