통,반,_dong,_jib,_fill
1,0,정왕동,2595,road_match
1,0,정왕동,2595-1,road_match
1,0,정왕동,2597-15,road_match
10,0,정왕동,2601,road_match
10,0,정왕동,2604,road_match
10,0,정왕동,2607,road_split
11,0,정왕동,2607,road_split
11,0,정왕동,2610,road_match
11,0,정왕동,2614,road_match
11,0,정왕동,2618,road_match
11,0,정왕동,2621,road_match
11,0,정왕동,2621-1,road_match
11,0,정왕동,2624,road_match
11,0,정왕동,2624-1,road_match
11,0,정왕동,2626,road_match
1,0,정왕동,2633,road_match
1,0,정왕동,2633-1,road_match
1,0,정왕동,2633-2,road_match
1,0,정왕동,2639,road_match
1,0,정왕동,2643,road_match
1,0,정왕동,2643-1,road_match
1,0,정왕동,2643-2,road_match
10,0,정왕동,2649,road_match
10,0,정왕동,2649-1,road_match
10,0,정왕동,2656,road_split
11,0,정왕동,2656,road_split
10,0,정왕동,2656-1,road_match
11,0,정왕동,2656-2,road_match
11,0,정왕동,2661,road_match
11,0,정왕동,2666,road_match
11,0,정왕동,2667,road_split
12,0,정왕동,2667,road_split
11,0,정왕동,2670,road_match
11,0,정왕동,2670-1,road_match
11,0,정왕동,2675,road_match
2,0,정왕동,2681,road_match
2,0,정왕동,2681-1,road_match
2,0,정왕동,2682,road_match
2,0,정왕동,2682-1,road_match
2,0,정왕동,2690,road_match
2,0,정왕동,2690-1,road_match
2,0,정왕동,2690-4,road_match
2,0,정왕동,2690-5,road_match
2,0,정왕동,2700-7,road_match
2,0,정왕동,2702,road_match
2,0,정왕동,2703-16,road_match
2,0,정왕동,2704,road_match
2,0,정왕동,2704-1,road_match
2,0,정왕동,2704-2,road_match
2,0,정왕동,2708,road_match
2,0,정왕동,2710,road_match
3,0,정왕동,2711-2,road_split
4,0,정왕동,2711-2,road_split
2,0,정왕동,2717,road_match
2,0,정왕동,2717-1,road_match
2,0,정왕동,2718-8,road_match
2,0,정왕동,2720-13,road_match
2,0,정왕동,2726,road_match
2,0,정왕동,2726-1,road_match
2,0,정왕동,2726-3,road_match
2,0,정왕동,2726-7,road_match
2,0,정왕동,2728,road_match
2,0,정왕동,2731-5,road_match
9,0,정왕동,2740,road_split
10,0,정왕동,2740,road_split
11,0,정왕동,2740,road_split
9,0,정왕동,2744,road_split
10,0,정왕동,2744,road_split
10,0,정왕동,2744-1,road_match
9,0,정왕동,2744-2,road_match
9,0,정왕동,2744-3,road_match
10,0,정왕동,2751-11,road_match
9,0,정왕동,2753,road_split
10,0,정왕동,2753,road_split
10,0,정왕동,2753-1,road_match
10,0,정왕동,2753-2,road_match
9,0,정왕동,2770-13,road_match
11,0,정왕동,2773,road_split
12,0,정왕동,2773,road_split
11,0,정왕동,2773-1,road_match
11,0,정왕동,2773-2,road_match
12,0,정왕동,2773-3,road_match
11,0,정왕동,2774-8,road_match
11,0,정왕동,2777,road_split
12,0,정왕동,2777,road_split
12,0,정왕동,2796-11,road_match
9,0,정왕동,2800,road_match
9,0,정왕동,2802,road_match
9,0,정왕동,2802-1,road_match
9,0,정왕동,2802-2,road_match
9,0,정왕동,2803-13,road_match
9,0,정왕동,2816-16,road_match
12,0,정왕동,2821,road_match
12,0,정왕동,2823,road_match
12,0,정왕동,2825-7,road_match
12,0,정왕동,2827,road_match
