통,유형,사유
2,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
10,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
16,일반,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
18,일반,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
21,일반,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
22,일반,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
23,일반,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
24,일반,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
25,일반,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
27,일반,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
28,일반,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
29,일반,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
30,일반,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
31,일반,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
33,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
34,일반,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
36,일반,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
