행정동,통,반,관할구역
은행동,1,1,은행동 330～350
은행동,1,2,은행동 351～524
은행동,1,3,"은행동 672-2(성강해오름지식산업센터),"
은행동,1,4,"은계지구 종4, 자족3, 자족4, 근생5,6,14,19,21"
은행동,2,1,"은행동 50~98, 은계지구 근생2,16"
은행동,2,2,은행동 99-16(광덕아파트 C동 1~12층)
은행동,3,1,은행동 297(대우아파트 가동)
은행동,3,2,은행동 297(대우아파트 나동)
은행동,3,3,은행동 289-31(신성아파트 101호～314호)
은행동,3,4,은행동 289-31(신성아파트 401호～514호)
은행동,3,5,"은행동 289-31(신성아파트), 289-96(대영파크타운)"
은행동,3,6,은행동 289-93(신성아트빌)
은행동,4,1,은행동 109-105(진양아파트)
은행동,4,2,은행동 109-63(진양빌라)
은행동,4,3,은행동 109-87～94
은행동,4,4,은행동 109-96～103
은행동,4,5,"은행동 106-60～62, 109-64～72, 109-106～110"
은행동,4,6,은행동 109-38～45
은행동,4,7,"은행동 109-46～59, 109-52(진양다세대)"
은행동,4,8,은행동 109-21～26
은행동,4,9,은행동 109-27～37
은행동,4,10,은행동 108
은행동,5,1,은행동 276-8(한영아파트 가동)
은행동,5,2,은행동 276-6(한영아파트 나동)
은행동,5,3,은행동 276-2(한영아파트 다동)
은행동,5,4,은행동 276-1(목화연립 가동)
은행동,5,5,은행동 276-9(목화연립 나동)
은행동,5,6,"은행동 276-10(목화연립 다동), 289-66"
은행동,6,1,"안현동 172～294-2, 산37, 46, 49"
은행동,6,2,안현동 300～363
은행동,6,3,안현동 364～399
은행동,7,1,안현동 400-499
은행동,7,2,안현동 500～519
은행동,8,1,"안현동 8～105-1, 137-2～138, 산13"
은행동,8,2,안현동 108～125
은행동,9,1,은행동 1～13
은행동,9,2,은행동 14～25
은행동,9,3,은행동 150～161
은행동,10,1,은행동 289-37(극동아파트 가동)
은행동,10,2,은행동 289-37(극동아파트 나동)
은행동,10,3,"은행동 289-11(삼성홈타운아파트 101동), 289-52(신성프라자)"
은행동,10,4,은행동 289-11(삼성홈타운아파트 102동)
은행동,10,5,은행동 289-11(삼성홈타운아파트 103동)
