통,반,_dong,_jib,_fill
36,0,정왕동,2113,road_match
36,0,정왕동,2114,road_match
36,0,정왕동,2115,road_match
36,0,정왕동,2116,road_match
36,0,정왕동,2117,road_match
36,0,정왕동,2120,road_match
34,0,정왕동,2126,road_match
34,0,정왕동,2127,road_match
34,0,정왕동,2128,road_match
36,0,정왕동,2130,road_match
36,0,정왕동,2131,road_match
36,0,정왕동,2196-19,road_match
36,0,정왕동,2196-20,road_match
36,0,정왕동,2196-21,road_match
36,0,정왕동,2196-22,road_match
36,0,정왕동,2196-23,road_match
36,0,정왕동,2196-24,road_match
36,0,정왕동,2196-25,road_match
36,0,정왕동,2196-26,road_match
36,0,정왕동,2196-27,road_match
36,0,정왕동,2196-28,road_match
36,0,정왕동,2196-29,road_match
36,0,정왕동,2196-32,road_match
21,0,정왕동,1798,road_split
19,0,정왕동,1798,road_split
24,0,정왕동,1797,road_split
23,0,정왕동,1797,road_split
28,0,정왕동,1797,road_split
25,0,정왕동,1797,road_split
26,0,정왕동,1797,road_split
28,0,정왕동,1796,road_split
26,0,정왕동,1796,road_split
21,0,정왕동,1795,road_split
24,0,정왕동,1795,road_split
19,0,정왕동,1795,road_split
23,0,정왕동,1795,road_split
28,0,정왕동,1795,road_split
32,0,정왕동,1795,road_split
32,0,정왕동,1794,road_match
32,0,정왕동,1793,road_match
32,0,정왕동,1792,road_match
23,0,정왕동,1788-2,road_split
25,0,정왕동,1788-2,road_split
24,0,정왕동,1787-2,road_match
22,0,정왕동,1769,road_split
21,0,정왕동,1769,road_split
19,0,정왕동,1769,road_split
22,0,정왕동,1768,road_match
22,0,정왕동,1767,road_match
22,0,정왕동,1766,road_match
22,0,정왕동,1765,road_match
22,0,정왕동,1764,road_split
19,0,정왕동,1764,road_split
19,0,정왕동,1763,road_match
19,0,정왕동,1762,road_match
19,0,정왕동,1761,road_match
19,0,정왕동,1760,road_match
22,0,정왕동,1759,road_split
19,0,정왕동,1759,road_split
19,0,정왕동,1758,road_split
18,0,정왕동,1758,road_split
36,0,정왕동,2207-18,road_match
36,0,정왕동,2207-19,road_match
36,0,정왕동,2207-21,road_match
36,0,정왕동,2207-22,road_match
36,0,정왕동,2207-54,road_match
19,0,정왕동,1734-4,road_match
9,0,정왕동,1692,road_match
14,0,정왕동,1691,road_split
11,0,정왕동,1691,road_split
15,0,정왕동,1690,road_match
18,0,정왕동,1680,road_split
16,0,정왕동,1680,road_split
15,0,정왕동,1680,road_split
18,0,정왕동,1679,road_split
17,0,정왕동,1679,road_split
16,0,정왕동,1679,road_split
15,0,정왕동,1679,road_split
17,0,정왕동,1678,road_split
15,0,정왕동,1678,road_split
17,0,정왕동,1677,road_split
15,0,정왕동,1677,road_split
17,0,정왕동,1676,road_split
15,0,정왕동,1676,road_split
17,0,정왕동,1675,road_split
15,0,정왕동,1675,road_split
14,0,정왕동,1674,road_split
12,0,정왕동,1674,road_split
11,0,정왕동,1674,road_split
14,0,정왕동,1673,road_split
12,0,정왕동,1673,road_split
11,0,정왕동,1673,road_split
