통,반,법정동,지번
17,2,정왕동,1800
18,1,정왕동,1799
19,9,정왕동,1734
19,9,정왕동,1735
19,9,정왕동,1736
19,9,정왕동,1737
19,9,정왕동,1738
22,9,정왕동,1740
22,9,정왕동,1741
22,9,정왕동,1742
22,9,정왕동,1743
22,9,정왕동,1744
32,5,정왕동,1780
32,5,정왕동,1781
32,5,정왕동,1782
32,5,정왕동,1783
32,5,정왕동,1784
34,1,정왕동,1366
34,2,정왕동,2121
34,2,정왕동,2122
36,1,정왕동,1367
36,1,정왕동,2123
36,2,정왕동,2094
36,2,정왕동,2095
36,2,정왕동,2096
36,2,정왕동,2097
36,2,정왕동,2098
36,2,정왕동,2099
36,2,정왕동,2100
36,2,정왕동,2101
36,2,정왕동,2180
36,2,정왕동,2181
36,2,정왕동,2182
36,2,정왕동,2183
36,2,정왕동,2184
36,2,정왕동,2185
36,2,정왕동,2186
36,2,정왕동,2187
36,2,정왕동,2188
36,2,정왕동,2189
36,2,정왕동,2190
36,2,정왕동,2191
36,2,정왕동,2192
36,2,정왕동,2193
36,2,정왕동,2194
36,2,정왕동,2195
36,2,정왕동,2205
36,2,정왕동,2206
