통,유형,사유
4,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
6,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
9,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
14,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
16,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
18,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
20,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
24,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
26,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
30,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
32,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
35,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
