통,반,법정동,지번
2,1,신천동,704-31
2,1,신천동,52
2,1,신천동,53
2,2,신천동,705-20
2,2,신천동,705-25
2,3,신천동,705-37
2,3,신천동,705-42
2,4,신천동,17
2,4,신천동,18
2,4,신천동,19
2,4,신천동,20
2,4,신천동,22
2,4,신천동,24
2,4,신천동,25
2,5,신천동,713-4
2,5,신천동,713-10
3,2,신천동,15
3,2,신천동,16
3,2,신천동,17
3,2,신천동,18
3,2,신천동,19
3,2,신천동,20
3,2,신천동,27
3,3,신천동,21
3,3,신천동,22
3,3,신천동,23
3,3,신천동,24
3,3,신천동,25
3,3,신천동,28
3,3,신천동,29
3,3,신천동,30
3,5,신천동,14
3,5,신천동,15
3,5,신천동,16
3,5,신천동,32
3,5,신천동,33
3,6,신천동,17
3,6,신천동,18
3,6,신천동,19
3,6,신천동,20
3,6,신천동,21
3,6,신천동,22
3,6,신천동,23
3,6,신천동,24
3,6,신천동,25
3,6,신천동,26
3,6,신천동,27
3,6,신천동,28
3,6,신천동,29
3,6,신천동,30
3,6,신천동,31
3,7,신천동,704-3
3,7,신천동,41
3,7,신천동,42
3,7,신천동,43
3,7,신천동,44
3,7,신천동,45
3,7,신천동,46
4,1,신천동,314-12
4,1,신천동,314-14
4,1,신천동,149
4,2,신천동,314-32
4,3,신천동,719-1
4,4,신천동,314-37
4,4,신천동,314-42
4,4,신천동,314-44
4,5,신천동,314-96-105
5,2,신천동,314-125
5,2,신천동,314-128
5,4,신천동,314-68
5,4,신천동,314-69
5,4,신천동,314-83
5,4,신천동,314-87
5,4,신천동,314-88
6,4,신천동,314-53
6,4,신천동,314-58
6,6,신천동,411
6,6,신천동,412
6,6,신천동,413
6,6,신천동,416
6,6,신천동,417
7,3,신천동,595
7,4,신천동,595
10,1,신천동,10
10,1,신천동,11
10,1,신천동,12
10,1,신천동,13
10,1,신천동,23
10,2,신천동,14
10,2,신천동,15
10,2,신천동,16
10,2,신천동,17
10,2,신천동,18
10,2,신천동,19
10,2,신천동,20
10,2,신천동,21
10,2,신천동,22
13,8,신천동,388-10
16,3,신천동,20
16,3,신천동,21
16,3,신천동,22
16,5,신천동,751-24
20,7,신천동,586
22,1,신천동,843-17
22,1,신천동,843-28
24,7,신천동,842-15
24,7,신천동,275-3
24,7,신천동,276-2
25,3,신천동,5
25,3,신천동,6
25,3,신천동,7
25,3,신천동,8
25,3,신천동,14
25,3,신천동,15
25,4,신천동,9
25,4,신천동,10
25,4,신천동,11
25,4,신천동,12
25,4,신천동,16
27,4,신천동,781-2
27,5,신천동,781-15
27,6,신천동,1-16
27,6,신천동,83-19
27,6,신천동,83-20
27,6,신천동,83-21
27,6,신천동,83-34
28,2,신천동,26-1
30,8,신천동,679-4
30,8,신천동,679-5
30,8,신천동,679-6
30,8,신천동,679-7
30,8,신천동,679-15
31,5,신천동,861-9
31,5,신천동,862-17
31,5,신천동,862-19
32,2,신천동,860-14
32,5,신천동,69-1
33,8,신천동,81
33,8,신천동,82
33,8,신천동,84
33,8,신천동,85
33,8,신천동,87
34,10,신천동,863-5
34,10,신천동,기타지역
35,2,신천동,876-12
36,4,신천동,880-2
36,6,신천동,883-7
38,4,신천동,887-6
41,1,신천동,707-12
41,1,신천동,707-13
41,1,신천동,712-5
41,1,신천동,712-8
41,2,신천동,707-44
41,2,신천동,707-52
41,2,신천동,707-59
41,2,신천동,707-67
41,2,신천동,707-68
41,2,신천동,707-73
41,3,신천동,708-8
41,3,신천동,708-9
41,3,신천동,708-11
41,5,신천동,709-12
41,5,신천동,709-21
41,5,신천동,709-27
41,5,신천동,709-28
41,6,신천동,23
41,6,신천동,26
