_dong,_jib,통
신천동,887-22,35.0
신천동,887-21,35.0
신천동,887-20,35.0
신천동,887-19,35.0
신천동,887-18,35.0
신천동,887-17,35.0
신천동,887-16,35.0
신천동,887-15,35.0
신천동,877-14,14.0
신천동,877-13,14.0
신천동,877-12,14.0
신천동,877-11,14.0
신천동,877-10,14.0
신천동,877-9,14.0
신천동,877-6,14.0
신천동,877-5,14.0
신천동,877-4,14.0
신천동,877-3,14.0
신천동,877-2,14.0
신천동,877-1,14.0
