통,반,법정동,토큰
2,1,무지내동,13-1~55-2
2,1,무지내동,산1~산7
3,1,과림동,490-5~490-11
3,3,과림동,629-1~654-5
3,4,과림동,732-2~737-1
3,4,과림동,74-1~747-1
3,4,과림동,산82-2~산91-2
4,4,과림동,산17~산41
5,1,과림동,13-1~산13-7
5,1,과림동,산14-1~산16-1
5,2,과림동,46-1~58-5
5,3,과림동,14-1~20-2
5,3,과림동,60-1~63-2
5,4,과림동,1-1~13-2
