통,반,_dong,_jib,_fill
2,0,방산동,477-3,road_match
2,0,방산동,473-1,road_match
2,0,방산동,472-1,road_match
2,0,방산동,464-1,road_match
2,0,방산동,461-3,road_match
2,0,방산동,461-1,road_match
1,0,방산동,416-10,road_match
1,0,방산동,416-5,road_match
1,0,방산동,385-3,road_match
1,0,방산동,317-11,road_match
1,0,방산동,317-10,road_match
1,0,방산동,306-8,road_match
1,0,방산동,294-1,road_match
1,0,방산동,272-11,road_match
1,0,방산동,272-9,road_match
1,0,방산동,272-6,road_match
1,0,방산동,270-10,road_match
1,0,방산동,270-7,road_match
1,0,방산동,270-6,road_match
1,0,방산동,265-1,road_match
1,0,방산동,264-3,road_match
1,0,방산동,259-5,road_match
1,0,방산동,256-2,road_match
1,0,방산동,249-1,road_match
1,0,방산동,248-1,road_match
1,0,방산동,244-1,road_match
2,0,방산동,1001-2,road_match
1,0,방산동,211-4,road_match
1,0,방산동,205-3,road_match
1,0,방산동,202-6,road_match
1,0,방산동,202-5,road_match
1,0,방산동,191-2,road_match
1,0,방산동,186-4,road_match
1,0,방산동,181-4,road_match
1,0,방산동,181-3,road_match
1,0,방산동,177-4,road_match
1,0,방산동,177-3,road_match
1,0,방산동,177-2,road_match
1,0,방산동,177-1,road_match
1,0,방산동,164-2,road_match
1,0,방산동,806,road_match
1,0,방산동,139-5,road_match
1,0,방산동,992-4,road_match
1,0,방산동,992-2,road_match
1,0,방산동,126-9,road_match
1,0,방산동,126-6,road_match
1,0,방산동,962-2,road_match
1,0,방산동,52-4,road_match
1,0,방산동,32,road_match
1,0,방산동,29,road_match
1,0,방산동,16-4,road_match
1,0,방산동,4-14,road_match
2,0,방산동,555-16,road_match
2,0,방산동,698-4,road_match
1,0,방산동,802-11,road_match
1,0,방산동,802-10,road_match
1,0,방산동,802-6,road_match
1,0,방산동,802-4,road_match
2,0,방산동,629-8,road_match
2,0,방산동,629-11,road_match
2,0,방산동,678-15,road_match
2,0,방산동,705-1,road_match
1,0,방산동,산104-6,road_match
2,0,방산동,795-7,road_match
2,0,방산동,833-2,road_match
2,0,방산동,1027,road_match
2,0,방산동,836,road_match
2,0,방산동,836-1,road_match
2,0,방산동,836-2,road_match
2,0,방산동,836-5,road_match
2,0,방산동,836-6,road_match
2,0,방산동,836-7,road_match
2,0,방산동,838,road_match
2,0,방산동,838-1,road_match
2,0,방산동,838-2,road_match
2,0,방산동,521-6,road_match
1,0,방산동,802-17,road_match
2,0,방산동,755-4,road_match
1,0,방산동,1029-10,road_match
1,0,방산동,1029-11,road_match
1,0,방산동,1029-12,road_match
1,0,방산동,1029-14,road_match
1,0,방산동,1029-15,road_match
1,0,방산동,1029-6,road_match
2,0,방산동,779-7,road_match
1,0,방산동,797-1,road_match
2,0,방산동,779-13,road_match
2,0,방산동,629-45,road_match
2,0,방산동,629-44,road_match
1,0,방산동,800,road_match
2,0,방산동,630-2,road_match
1,0,방산동,823,road_match
1,0,방산동,822,road_match
1,0,방산동,1029-5,road_match
1,0,방산동,797-3,road_match
1,0,방산동,799,road_match
2,0,방산동,559-3,road_match
2,0,방산동,559-2,road_match
1,0,방산동,824,road_match
2,0,방산동,825,road_match
1,0,방산동,826,road_match
1,0,방산동,826-1,road_match
1,0,방산동,826-2,road_match
1,0,방산동,826-3,road_match
1,0,방산동,826-5,road_match
1,0,방산동,826-6,road_match
1,0,방산동,826-7,road_match
1,0,방산동,828,road_match
1,0,방산동,828-1,road_match
1,0,방산동,828-2,road_match
1,0,방산동,817,road_match
1,0,방산동,815,road_match
1,0,방산동,813-1,road_match
1,0,방산동,813,road_match
1,0,방산동,812,road_match
2,0,방산동,539-1,road_match
1,0,방산동,810,road_match
1,0,방산동,809-4,road_match
1,0,방산동,809-3,road_match
1,0,방산동,809-2,road_match
1,0,방산동,809-1,road_match
1,0,방산동,809,road_match
1,0,방산동,807-3,road_match
1,0,방산동,807-2,road_match
1,0,방산동,807-1,road_match
1,0,방산동,807,road_match
1,0,방산동,830,road_match
2,0,방산동,833,road_match
1,0,방산동,935-3,road_match
2,0,방산동,591-3,road_match
1,0,방산동,935-1,road_match
1,0,방산동,1029-16,road_match
1,0,방산동,1029-18,road_match
1,0,방산동,1029-19,road_match
1,0,방산동,1029-20,road_match
1,0,방산동,1029-21,road_match
1,0,방산동,1029-22,road_match
1,0,방산동,1029-23,road_match
2,0,방산동,507-3,road_match
1,0,방산동,산104-12,road_match
1,0,방산동,1029-24,road_match
1,0,방산동,1029-25,road_match
1,0,방산동,1029-26,road_match
1,0,방산동,1029-27,road_match
1,0,방산동,1029-29,road_match
1,0,방산동,산104-14,road_match
1,0,방산동,산117-3,road_match
1,0,방산동,산117-6,road_match
1,0,방산동,산117-14,road_match
2,0,방산동,491-1,road_match
2,0,방산동,842,road_match
2,0,방산동,845,road_match
2,0,방산동,845-2,road_match
2,0,방산동,845-4,road_match
2,0,방산동,693-2,road_match
2,0,방산동,848,road_match
2,0,방산동,848-1,road_match
2,0,방산동,849,road_match
1,0,방산동,850,road_match
1,0,방산동,850-1,road_match
1,0,방산동,850-2,road_match
1,0,방산동,850-3,road_match
2,0,방산동,692-1,road_match
1,0,방산동,852,road_match
2,0,방산동,853,road_match
2,0,방산동,480-7,road_match
1,0,방산동,875-1,road_match
1,0,방산동,876-1,road_match
2,0,방산동,682-9,road_match
11,0,포동,341-2,road_match
3,0,포동,344,road_match
5,0,포동,344-1,road_split
3,0,포동,344-1,road_split
3,0,포동,345,road_match
3,0,포동,346,road_match
3,0,포동,347,road_match
3,0,포동,350,road_match
1,0,포동,356,road_split
3,0,포동,356,road_split
