통,반,법정동,토큰
1,4,,은계지구 종4
1,4,,자족3
1,4,,자족4
1,4,,근생5
1,4,,6
1,4,,14
1,4,,19
1,4,,21
52,4,,은계지구 종3
52,4,,업무4
52,4,,업무7
52,4,,자1
53,6,,은계지구 근생3
54,5,,은계지구 근생17
54,5,,18
55,5,,은계지구 근생4
55,5,,종2
57,1,,은계지구 단독주택용지 D6~D17
57,1,,D19
57,2,,은계지구 근생20
58,1,,은계지구 준주거용지1
58,3,,은계지구 근생 8~13
59,1,,
59,2,,
60,1,,
60,2,,
61,1,,
61,2,,
