통,반,_dong,_jib,_fill
1,0,은행동,328-11,road_split
26,0,은행동,328-5,road_match
1,0,은행동,328-2,road_split
26,0,은행동,328-2,road_split
19,0,은행동,320-3,road_match
26,0,은행동,320-2,road_split
19,0,은행동,320-2,road_split
26,0,은행동,320-1,road_split
19,0,은행동,320-1,road_split
19,0,은행동,319-6,road_split
26,0,은행동,319-6,road_split
26,0,은행동,319-5,road_split
19,0,은행동,319-5,road_split
26,0,은행동,319-4,road_split
3,0,은행동,319-4,road_split
19,0,은행동,318-1,road_split
26,0,은행동,318-1,road_split
19,0,은행동,301-33,road_match
19,0,은행동,301-24,road_match
3,0,은행동,300-10,road_split
26,0,은행동,300-10,road_split
26,0,은행동,300-9,road_match
26,0,은행동,299-1,road_split
19,0,은행동,299-1,road_split
26,0,은행동,285-15,road_match
26,0,은행동,285-7,road_split
1,0,은행동,285-7,road_split
1,0,은행동,285-2,road_match
1,0,은행동,284-45,road_match
1,0,은행동,284-44,road_match
1,0,은행동,284-41,road_match
1,0,은행동,284-40,road_match
1,0,은행동,284-15,road_match
1,0,은행동,284-8,road_match
1,0,은행동,284-6,road_match
1,0,은행동,284-5,road_match
15,0,은행동,282-12,road_match
1,0,은행동,281-5,road_match
1,0,은행동,280-6,road_match
1,0,은행동,279-18,road_match
1,0,은행동,279-16,manual_pending
15,0,은행동,279-14,road_split
1,0,은행동,279-14,road_split
15,0,은행동,279-13,road_match
15,0,은행동,279-11,road_split
1,0,은행동,279-11,road_split
15,0,은행동,278-16,road_match
15,0,은행동,278-10,road_match
15,0,은행동,278-6,road_split
1,0,은행동,278-6,road_split
15,0,은행동,278-2,road_split
1,0,은행동,278-2,road_split
15,0,은행동,277-2,road_split
1,0,은행동,277-2,road_split
13,0,은행동,275-9,road_match
1,0,은행동,275-8,road_match
1,0,은행동,275-7,road_match
1,0,은행동,275-2,road_split
13,0,은행동,275-2,road_split
1,0,은행동,272-10,manual_pending
12,0,은행동,271-23,road_split
13,0,은행동,271-23,road_split
13,0,은행동,271-17,road_match
1,0,은행동,271-8,road_split
13,0,은행동,271-8,road_split
12,0,은행동,271-8,road_split
1,0,은행동,271-3,road_match
1,0,은행동,267-3,road_match
1,0,은행동,267-2,road_match
1,0,은행동,261-12,road_match
1,0,은행동,260-8,road_match
1,0,은행동,260-6,road_match
31,0,은행동,259-25,road_match
31,0,은행동,259-24,road_match
31,0,은행동,259-23,road_match
31,0,은행동,259-22,road_match
15,0,은행동,252-77,road_match
15,0,은행동,252-65,road_split
1,0,은행동,252-65,road_split
15,0,은행동,252-51,road_match
1,0,은행동,252-47,manual_pending
18,0,은행동,252-28,road_match
18,0,은행동,252-24,road_split
15,0,은행동,252-24,road_split
15,0,은행동,252-22,road_match
31,0,은행동,252-19,road_match
15,0,은행동,252-17,road_split
31,0,은행동,252-17,road_split
15,0,은행동,252-14,road_match
18,0,은행동,252-13,road_match
18,0,은행동,252-1,road_split
15,0,은행동,252-1,road_split
15,0,은행동,251-27,road_split
18,0,은행동,251-27,road_split
18,0,은행동,251-16,road_match
18,0,은행동,251-15,road_match
18,0,은행동,251-10,road_match
18,0,은행동,251-5,road_match
1,0,은행동,250-61,road_match
1,0,은행동,250-60,road_match
1,0,은행동,250-58,manual_pending
15,0,은행동,250-57,road_match
15,0,은행동,250-56,road_match
15,0,은행동,250-55,road_match
1,0,은행동,250-53,manual_pending
1,0,은행동,250-51,road_match
1,0,은행동,250-50,road_match
1,0,은행동,250-49,road_match
15,0,은행동,250-47,road_match
15,0,은행동,250-45,road_match
15,0,은행동,250-44,road_match
15,0,은행동,250-40,road_match
18,0,은행동,250-36,road_split
1,0,은행동,250-36,road_split
15,0,은행동,250-36,road_split
31,0,은행동,250-36,road_split
1,0,은행동,250-31,road_match
1,0,은행동,250-30,road_match
15,0,은행동,250-29,road_match
15,0,은행동,250-24,road_match
15,0,은행동,250-18,road_match
1,0,은행동,250-12,road_split
15,0,은행동,250-12,road_split
1,0,은행동,250-10,road_match
1,0,은행동,250-9,road_split
15,0,은행동,250-9,road_split
15,0,은행동,250-8,road_split
1,0,은행동,250-8,road_split
1,0,은행동,249-25,road_match
1,0,은행동,249-24,road_match
1,0,은행동,249-22,road_match
1,0,은행동,249-18,road_match
1,0,은행동,249-5,road_match
17,0,은행동,248-203,road_match
1,0,은행동,248-194,road_match
1,0,은행동,248-193,road_match
15,0,은행동,248-143,road_match
17,0,은행동,248-126,road_match
1,0,은행동,248-118,road_match
1,0,은행동,248-116,road_match
14,0,은행동,248-81,road_match
14,0,은행동,248-80,road_split
18,0,은행동,248-80,road_split
1,0,은행동,248-76,road_match
17,0,은행동,248-69,road_match
17,0,은행동,248-62,road_match
17,0,은행동,248-58,road_split
14,0,은행동,248-58,road_split
18,0,은행동,248-56,road_match
18,0,은행동,248-18,road_match
18,0,은행동,248-4,road_match
1,0,은행동,247-22,road_match
1,0,은행동,247-21,road_match
1,0,은행동,247-17,road_match
1,0,은행동,247-16,road_match
1,0,은행동,247-11,road_match
17,0,은행동,247-10,road_match
1,0,은행동,247-7,road_match
17,0,은행동,246-1,road_split
1,0,은행동,246-1,road_split
14,0,은행동,246-1,road_split
17,0,은행동,244-1,road_split
14,0,은행동,244-1,road_split
17,0,은행동,243-5,road_split
14,0,은행동,243-5,road_split
14,0,은행동,243-4,road_split
1,0,은행동,243-4,road_split
14,0,은행동,243-3,road_split
1,0,은행동,243-3,road_split
14,0,은행동,242-5,road_match
14,0,은행동,242-4,road_match
14,0,은행동,242-2,road_match
14,0,은행동,241-3,road_match
14,0,은행동,241-2,road_match
1,0,은행동,113-8,road_match
11,0,은행동,113-7,road_split
1,0,은행동,113-7,road_split
1,0,은행동,112-6,road_match
1,0,은행동,111-3,road_match
1,0,은행동,111-2,road_match
1,0,은행동,111-1,road_match
1,0,은행동,110-14,road_match
1,0,은행동,110-13,road_match
1,0,은행동,110-11,road_match
1,0,은행동,110-10,road_match
1,0,은행동,110-5,road_match
1,0,은행동,110-4,road_match
1,0,은행동,107-5,road_match
1,0,은행동,107-4,road_match
1,0,은행동,106-3,manual_pending
1,0,은행동,106-2,road_split
11,0,은행동,106-2,road_split
11,0,은행동,104-2,road_split
1,0,은행동,103-10,road_match
1,0,은행동,103-9,road_match
1,0,은행동,101-9,road_match
11,0,은행동,101-7,road_match
1,0,은행동,101-5,road_match
1,0,은행동,100-2,road_match
1,0,은행동,100,road_match
39,0,은행동,677-3,road_match
58,0,은행동,681,road_split
36,0,은행동,681,road_split
50,0,은행동,681,road_split
30,0,은행동,586,road_split
24,0,은행동,586,road_split
23,0,은행동,586,road_split
23,0,은행동,677,road_match
27,0,은행동,677-1,road_split
2,0,은행동,677-1,road_split
22,0,은행동,677-1,road_split
34,0,은행동,682-1,road_split
39,0,은행동,682-1,road_split
11,0,은행동,103-8,road_split
1,0,은행동,103-8,road_split
1,0,은행동,683,road_split
2,0,은행동,683,road_split
34,0,은행동,683,road_split
46,0,은행동,683,road_split
1,0,은행동,684,road_match
15,0,은행동,252-44,road_split
1,0,은행동,252-44,road_split
1,0,은행동,253-1,road_split
31,0,은행동,253-1,road_split
13,0,은행동,253-1,road_split
26,0,은행동,684-2,road_split
1,0,은행동,684-2,road_split
12,0,은행동,684-2,road_split
19,0,은행동,684-2,road_split
53,0,은행동,691,road_split
47,0,은행동,691,road_split
41,0,은행동,691,road_split
45,0,은행동,691,road_split
1,0,은행동,655-2,road_match
46,0,은행동,686,road_split
45,0,은행동,686,road_split
1,0,은행동,657-2,road_match
51,0,은행동,688,road_split
47,0,은행동,688,road_split
1,0,은행동,688,road_split
41,0,은행동,688,road_split
12,0,은행동,689,road_split
1,0,은행동,689,road_split
51,0,은행동,687,road_match
1,0,은행동,207-7,road_match
26,0,은행동,328-3,road_split
1,0,은행동,328-3,road_split
26,0,은행동,328-14,road_match
26,0,은행동,328-15,road_match
26,0,은행동,328-12,road_match
26,0,은행동,687-10,road_match
1,0,은행동,687-8,road_match
1,0,은행동,687-9,road_match
26,0,은행동,675-1,road_match
26,0,은행동,687-11,road_match
59,0,은행동,697,manual_pending
59,0,은행동,698,road_match
61,0,은행동,696,road_split
59,0,은행동,696,road_split
4,0,은행동,696,road_split
61,0,은행동,산42-3,road_split
11,0,은행동,산42-3,road_split
1,0,은행동,산42-3,road_split
11,0,은행동,산37-7,road_match
1,0,은행동,산32-2,road_match
1,0,은행동,산31-2,road_match
1,0,은행동,689-1,road_match
46,0,은행동,685-2,road_match
45,0,은행동,685-1,road_split
46,0,은행동,685-1,road_split
53,0,은행동,685,road_split
45,0,은행동,685,road_split
46,0,은행동,685,road_split
34,0,은행동,682,road_split
43,0,은행동,682,road_split
39,0,은행동,682,road_split
58,0,은행동,679-1,road_match
58,0,은행동,678-1,road_match
58,0,은행동,678,road_match
51,0,은행동,661-2,road_split
41,0,은행동,661-2,road_split
30,0,은행동,601-325,road_match
30,0,은행동,601-324,road_match
26,0,은행동,600-10,road_split
1,0,은행동,600-10,road_split
1,0,은행동,600-6,road_match
1,0,은행동,600-5,road_split
26,0,은행동,600-5,road_split
1,0,은행동,600-4,road_split
26,0,은행동,600-4,road_split
26,0,은행동,600-3,road_split
1,0,은행동,600-3,road_split
32,0,은행동,599-7,road_match
32,0,은행동,599-3,road_match
32,0,은행동,599-2,road_match
32,0,은행동,596,road_split
28,0,은행동,596,road_split
2,0,은행동,596,road_split
27,0,은행동,596,road_split
21,0,은행동,596,road_split
30,0,은행동,596,road_split
22,0,은행동,596,road_split
27,0,은행동,594,road_split
22,0,은행동,594,road_split
30,0,은행동,591,road_match
22,0,은행동,590,road_split
30,0,은행동,590,road_split
24,0,은행동,590,road_split
24,0,은행동,589,road_match
24,0,은행동,588,road_match
24,0,은행동,587,road_split
23,0,은행동,587,road_split
30,0,은행동,585,road_match
30,0,은행동,584,road_match
30,0,은행동,583,road_split
20,0,은행동,583,road_split
22,0,은행동,583,road_split
30,0,은행동,582,road_match
30,0,은행동,581,road_match
30,0,은행동,580,road_match
30,0,은행동,579,road_match
30,0,은행동,578,road_match
30,0,은행동,577,road_match
30,0,은행동,576,road_match
30,0,은행동,575,road_split
21,0,은행동,575,road_split
20,0,은행동,575,road_split
30,0,은행동,574,road_match
29,0,은행동,573,road_split
30,0,은행동,573,road_split
21,0,은행동,573,road_split
28,0,은행동,573,road_split
29,0,은행동,572,road_split
28,0,은행동,572,road_split
29,0,은행동,571,road_split
30,0,은행동,571,road_split
33,0,은행동,570,road_match
33,0,은행동,569,road_match
33,0,은행동,568,road_match
33,0,은행동,567,road_match
33,0,은행동,566,road_match
33,0,은행동,565,road_match
33,0,은행동,564,road_match
33,0,은행동,563,road_split
32,0,은행동,563,road_split
32,0,은행동,551-4,road_match
2,0,은행동,547-8,road_split
27,0,은행동,547-8,road_split
1,0,은행동,525-1,road_match
7,0,안현동,492-9,road_match
7,0,안현동,521-3,road_match
1,0,안현동,546-6,road_match
1,0,안현동,547-4,road_split
1,0,안현동,548-6,road_match
8,0,안현동,593,road_match
8,0,안현동,593-1,road_match
8,0,안현동,593-2,road_match
8,0,안현동,595,road_match
8,0,안현동,595-1,road_match
8,0,안현동,595-2,road_match
6,0,안현동,596-2,road_match
6,0,안현동,596-4,road_match
6,0,안현동,596-6,road_match
6,0,안현동,596-7,road_match
6,0,안현동,596-8,road_match
6,0,안현동,596-11,road_match
6,0,안현동,596-12,road_match
6,0,안현동,596-14,road_match
6,0,안현동,596-15,road_match
6,0,안현동,596-16,road_match
6,0,안현동,596-17,road_match
6,0,안현동,596-18,road_match
6,0,안현동,596-19,road_match
6,0,안현동,596-20,road_match
6,0,안현동,597,road_split
8,0,안현동,597,road_split
8,0,안현동,597-4,road_match
6,0,안현동,597-5,road_match
6,0,안현동,598,road_match
7,0,안현동,599,road_match
7,0,안현동,599-6,road_match
8,0,안현동,600,road_match
8,0,안현동,산1-1,road_match
8,0,안현동,산5-13,road_match
8,0,안현동,산5-15,road_match
8,0,안현동,산5-16,road_match
8,0,안현동,산6-4,road_match
8,0,안현동,산8,road_match
8,0,안현동,산8-3,road_match
8,0,안현동,산9,road_match
8,0,안현동,산11-2,road_match
8,0,안현동,산49-9,road_match
8,0,안현동,산62-7,road_match
8,0,안현동,126,road_match
8,0,안현동,106-13,road_match
6,0,안현동,171-1,road_match
6,0,안현동,170-2,road_match
6,0,안현동,169-2,road_match
8,0,안현동,138-5,road_match
8,0,안현동,138-4,road_match
6,0,안현동,166-5,road_match
