통,반,_dong,_jib,_fill
2,0,장현동,564,road_match
36,0,장현동,571,road_match
36,0,장현동,579,road_match
42,0,장현동,586-2,road_match
42,0,장현동,587,road_match
24,0,장현동,592,road_match
42,0,장현동,599,road_split
31,0,장현동,599,road_split
26,0,장현동,599,road_split
24,0,장현동,599,road_split
31,0,장현동,609,road_split
26,0,장현동,609,road_split
31,0,장현동,615,road_split
26,0,장현동,615,road_split
31,0,장현동,621,road_match
31,0,장현동,623,road_match
31,0,장현동,650,road_match
31,0,장현동,652,road_match
1,0,장현동,3-5,road_match
2,0,장현동,4-2,road_match
2,0,장현동,4-8,road_match
1,0,장곡동,461-9,road_match
1,0,장곡동,462-5,road_match
1,0,장곡동,462-6,road_match
1,0,장곡동,462-8,road_match
1,0,장곡동,462-10,road_match
1,0,장곡동,463-9,road_match
1,0,장곡동,467-3,road_match
1,0,장곡동,468-8,road_match
1,0,장곡동,469-3,road_match
1,0,장곡동,470-1,road_match
1,0,장곡동,477-2,road_match
1,0,장곡동,477-4,road_match
1,0,장곡동,480-2,road_match
1,0,장곡동,480-3,road_match
1,0,장곡동,480-5,road_match
1,0,장곡동,480-11,road_match
1,0,장곡동,480-12,road_split
2,0,장곡동,480-12,road_split
1,0,장곡동,481-5,road_match
1,0,장곡동,481-7,road_match
1,0,장곡동,481-10,road_match
1,0,장곡동,481-15,road_match
1,0,장곡동,482-6,road_match
2,0,장곡동,486-9,road_match
1,0,장곡동,488-4,road_match
1,0,장곡동,490-5,road_match
1,0,장곡동,491-4,road_match
1,0,장곡동,492-2,road_match
1,0,장곡동,778-2,road_match
1,0,장곡동,778-4,road_match
2,0,장곡동,778-5,road_split
1,0,장곡동,778-5,road_split
2,0,장곡동,778-6,road_split
1,0,장곡동,778-6,road_split
2,0,장곡동,778-7,road_match
1,0,장곡동,778-8,road_match
2,0,장곡동,778-13,road_split
1,0,장곡동,778-19,road_match
2,0,장곡동,778-24,road_match
1,0,장곡동,778-35,road_match
1,0,장곡동,778-36,road_match
2,0,장곡동,778-37,road_match
2,0,장곡동,778-38,road_split
2,0,장곡동,778-39,road_match
2,0,장곡동,778-49,road_split
1,0,장곡동,778-49,road_split
2,0,장곡동,778-50,road_match
2,0,장곡동,778-51,road_match
2,0,장곡동,778-53,road_match
2,0,장곡동,778-54,road_match
2,0,장곡동,778-55,road_match
2,0,장곡동,778-56,road_match
2,0,장곡동,778-57,road_match
1,0,장곡동,779-2,road_match
2,0,장곡동,788,road_match
2,0,장곡동,788-2,road_match
2,0,장곡동,789,road_match
4,0,장곡동,830,road_split
10,0,장곡동,830,road_split
1,0,장곡동,830,road_split
4,0,장곡동,831,road_split
10,0,장곡동,831,road_split
4,0,장곡동,832,road_split
1,0,장곡동,832,road_split
8,0,장곡동,833,road_split
2,0,장곡동,833,road_split
4,0,장곡동,833,road_split
1,0,장곡동,833,road_split
1,0,장곡동,834,road_match
1,0,장곡동,835,road_match
1,0,장곡동,836,road_match
1,0,장곡동,837,road_match
1,0,장곡동,838,road_match
14,0,장곡동,839,road_split
1,0,장곡동,839,road_split
2,0,장곡동,839,road_split
2,0,장곡동,840,road_split
1,0,장곡동,840,road_split
1,0,장곡동,841,road_match
2,0,장곡동,842,road_split
1,0,장곡동,842,road_split
8,0,장곡동,843,road_split
14,0,장곡동,843,road_split
