_dong,_jib,통
장곡동,312,1.0
장곡동,340,1.0
장곡동,431,1.0
장곡동,432,1.0
장곡동,436,1.0
장곡동,437,1.0
장곡동,438,1.0
장곡동,440,1.0
장곡동,441,1.0
장곡동,442,1.0
장곡동,561,2.0
장곡동,580,2.0
장곡동,584,2.0
장곡동,610,2.0
장곡동,611,2.0
장곡동,628,2.0
장곡동,636,2.0
장곡동,637,2.0
장곡동,638,2.0
장곡동,655,2.0
장곡동,657,2.0
장곡동,660,2.0
장곡동,661,2.0
장곡동,662,2.0
장곡동,663,2.0
장곡동,664,2.0
장곡동,665,2.0
장곡동,682,2.0
장곡동,683,2.0
장곡동,684,2.0
장곡동,685,2.0
장곡동,687,2.0
장곡동,690,2.0
장곡동,697,2.0
장곡동,701,2.0
장곡동,703,2.0
장곡동,704,2.0
장곡동,705,2.0
장곡동,706,2.0
장곡동,707,2.0
장곡동,708,2.0
장곡동,710,2.0
장곡동,734,2.0
장곡동,735,2.0
장곡동,737,2.0
장곡동,739,2.0
장곡동,741,2.0
장곡동,744,2.0
장곡동,745,2.0
장곡동,747,2.0
장곡동,749,2.0
장곡동,750,2.0
장곡동,751,2.0
장곡동,753,2.0
장곡동,755,2.0
장곡동,756,2.0
장곡동,760,2.0
장곡동,772,3.0
장곡동,773,3.0
장곡동,775,3.0
장곡동,776,3.0
장곡동,779,3.0
장곡동,786,3.0
장곡동,787,3.0
장곡동,788,3.0
장곡동,789,3.0
장곡동,790,3.0
장곡동,792,2.0
장곡동,796,2.0
장곡동,797,2.0
장곡동,799,2.0
장곡동,804,3.0
장곡동,805,3.0
장곡동,806,3.0
장곡동,807,8.0
장곡동,815,1.0
장곡동,824,1.0
장곡동,826,1.0
장곡동,827,1.0
장곡동,828,4.0
장곡동,829,10.0
장곡동,879,14.0
장곡동,880,14.0
장곡동,901,3.0
장곡동,902,3.0
장곡동,903,3.0
장곡동,905,3.0
장곡동,907,3.0
장곡동,908,3.0
장곡동,909,3.0
장곡동,910,3.0
장곡동,911,3.0
장곡동,913,3.0
장곡동,914,3.0
장곡동,915,3.0
장곡동,916,3.0
장곡동,917,3.0
장곡동,918,3.0
장곡동,919,3.0
장곡동,920,3.0
장곡동,924,3.0
장곡동,936,3.0
장곡동,942,3.0
장곡동,946,3.0
장곡동,702,2.0
장곡동,771,3.0
장곡동,742,2.0
