통,반,법정동,토큰
17,1,,시흥장현LH17단지 1702동
17,2,,시흥장현LH17단지 1705동
18,1,,시흥장현LH17단지 1703동
18,2,,시흥장현LH17단지 1704동
19,2,,시흥장현LH19단지 1901동
19,2,,상가
19,3,,시흥장현LH19단지 1903동
20,1,,시흥장현LH19단지 1902동
21,2,,시흥장현루벤시아1차 2102동
21,3,,시흥장현루벤시아1차 2103동
22,1,,시흥장현루벤시아1차 2104동
22,2,,시흥장현루벤시아1차 2105동
22,3,,시흥장현루벤시아1차 2106동
22,4,,시흥장현루벤시아1차 2107동
23,2,,시흥장현루벤시아2차 2402동
23,3,,시흥장현루벤시아2차 2403동
23,4,,시흥장현루벤시아2차 2404동
23,5,,시흥장현루벤시아2차 2405동
28,2,,시흥장현제일풍경채에듀 902동
28,3,,시흥장현제일풍경채에듀 903동
28,4,,시흥장현제일풍경채에듀 904동
28,5,,시흥장현제일풍경채에듀 905동
32,2,,시흥장현LH18단지 1801동
32,3,,시흥장현LH18단지 1804동
32,3,,상가
33,1,,시흥장현LH18단지 1802동
33,2,,시흥장현LH18단지 1803동
34,2,,시흥장현 서희스타힐스아파트 202동
34,2,,상가
34,3,,시흥장현 서희스타힐스아파트 203동
34,4,,시흥장현 서희스타힐스아파트 204동
34,5,,시흥장현 서희스타힐스아파트 205동
35,1,,시흥장현 서희스타힐스아파트 206동
35,2,,시흥장현 서희스타힐스아파트 207동
35,3,,시흥장현 서희스타힐스아파트 208동
35,4,,시흥장현 서희스타힐스아파트 209동
36,2,,시흥장현LH23단지 2305동
36,3,,시흥장현LH23단지 2306동
37,1,,시흥장현LH23단지 2302동
37,2,,시흥장현LH23단지 2303동
37,3,,시흥장현LH23단지 2304동
42,2,,시흥장현 포레미엘 더파크 2202동
42,3,,시흥장현 포레미엘 더파크 2203동
42,4,,시흥장현 포레미엘 더파크 2204동
42,5,,시흥장현 포레미엘 더파크 2205동
42,6,,시흥장현 포레미엘 더파크 2206동
42,7,,시흥장현 포레미엘 더파크 2207동
43,2,,시흥장현데시앙 1501동
43,2,,상가
43,3,,시흥장현데시앙 1502동
43,4,,시흥장현데시앙 1503동
43,5,,시흥장현데시앙 1504동
43,6,,시흥장현데시앙 1505동
43,7,,시흥장현데시앙 1506동
